descuento_1,descuento_2,campo_vacio_1,producto,campo_vacio_2,campo_vacio_3,precio_sin_descuento,precio,precio_por_k,link,imagen,fecha_scrapeo
-20%,-20%,,Caldo Knorr De Verdura Deshidratado 12 Ud.,,Patrocinado,$ 2.31020%,$ 1.850,Agregar,"Precio por 1 UD $ 192,50",https://ardiaprod.vtexassets.com/arquivos/ids/353392-500-auto?v=638871331116470000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Caldo Knorr De Gallina Deshidratado 12 Ud.,,Patrocinado,$ 2.31020%,$ 1.850,Agregar,"Precio por 1 UD $ 192,50",https://ardiaprod.vtexassets.com/arquivos/ids/348537-500-auto?v=638794439952600000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Caldo Knorr De Verduras Cero Sodio 12 Cubos 96 Gr.,,Patrocinado,$ 2.89020%,$ 2.300,Agregar,"Precio por 1 Kg $ 30.104,17",https://ardiaprod.vtexassets.com/arquivos/ids/353356-500-auto?v=638871330697700000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Caldo de Carne Con Vegetales Knorr 12 Ud.,,Patrocinado,$ 2.31020%,$ 1.850,Agregar,"Precio por 1 UD $ 192,50",https://ardiaprod.vtexassets.com/arquivos/ids/332344-500-auto?v=638619038660730000&width=500&height=auto&aspect=true,2025-08-30
-19%,-19%,,Mix De Sabores Carne Romero Ajo Knorr 24 Gr.,,Patrocinado,$ 1.35019%,"$ 1.092,50",Agregar,"Precio por 10 Gr $ 562,50",https://ardiaprod.vtexassets.com/arquivos/ids/349485-500-auto?v=638809986621200000&width=500&height=auto&aspect=true,2025-08-30
-19%,-19%,,Mix de Especias Sabor Hongos Knorr 24 Gr.,,Patrocinado,$ 1.35019%,"$ 1.092,50",Agregar,"Precio por 10 Gr $ 562,50",https://ardiaprod.vtexassets.com/arquivos/ids/350382-500-auto?v=638822086611470000&width=500&height=auto&aspect=true,2025-08-30
-19%,-19%,,Mix De Especias Sabor Puerro Knorr 24 Gr.,,Patrocinado,$ 1.35019%,"$ 1.092,50",Agregar,"Precio por 10 Gr $ 562,50",https://ardiaprod.vtexassets.com/arquivos/ids/350381-500-auto?v=638822086596600000&width=500&height=auto&aspect=true,2025-08-30
-19%,-19%,,Mix De Especias Sabor Mediterráneo Knorr 24 Gr.,,Patrocinado,$ 1.35019%,"$ 1.092,50",Agregar,"Precio por 10 Gr $ 562,50",https://ardiaprod.vtexassets.com/arquivos/ids/350383-500-auto?v=638822086625830000&width=500&height=auto&aspect=true,2025-08-30
-25%,-25%,,Pan Blanco Artesano con Masa Madre 500 Gr.,,,$ 6.62525%,$ 4.970,Agregar,Precio por 1 Kg $ 13.250,https://ardiaprod.vtexassets.com/arquivos/ids/354723-500-auto?v=638887748670070000&width=500&height=auto&aspect=true,2025-08-30
-32%,-32%,,Chocolate para Taza Bonafide 100 Gr.,,,$ 4.09032%,$ 2.800,Agregar,Precio por 1 Kg $ 40.900,https://ardiaprod.vtexassets.com/arquivos/ids/318680-500-auto?v=638828519756270000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,Arroz Largo Carmabe 1 Kg.,,,$ 1.27522%,$ 990,Agregar,Precio por 1 Kg $ 1.275,https://ardiaprod.vtexassets.com/arquivos/ids/355032-500-auto?v=638890337082830000&width=500&height=auto&aspect=true,2025-08-30
