categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,aceites-de-girasol,-19%,LIRA,"Aceite de Girasol Lira 1,5 Lts.",19%,$2.290,",00$2",1526667LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-lira-15-lts-264923/p,https://ardiaprod.vtexassets.com/arquivos/ids/299086-500-auto?v=638503266056130000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,-42%,COCINERO,Aceite de Girasol Cocinero 900 Ml.,42%,"$990,00",$1.720,1100.00LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-cocinero-900-ml-48605/p,https://ardiaprod.vtexassets.com/arquivos/ids/263889-500-auto?v=638322415890230000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,DIA,"Aceite de Girasol Dia 1,5 Lts.",,$2.690,,1793.33LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-dia-15-lts-24114/p,https://ardiaprod.vtexassets.com/arquivos/ids/300641-500-auto?v=638518811033530000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,DIA,Aceite de Girasol Dia 900 Ml.,,$1.570,,1744.44LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-dia-900-ml-226068/p,https://ardiaprod.vtexassets.com/arquivos/ids/300698-500-auto?v=638518811614600000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,LEGITIMO,"Aceite de Girasol Legítimo 1,5 Lt.",,$2.970,,1980.00LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-legitimo-15-lt-15122/p,https://ardiaprod.vtexassets.com/arquivos/ids/262723-500-auto?v=638322398837400000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,NATURA,"Aceite de Girasol Natura 1,5 Lts.",,$3.080,,2053.33LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-natura-15-lts-78856/p,https://ardiaprod.vtexassets.com/arquivos/ids/264603-500-auto?v=638322426156400000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,SIN MARCA,Aceite de Girasol Legítimo 900 Ml.,,$1.870,,2077.78LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-legitimo-900-ml-56453/p,https://ardiaprod.vtexassets.com/arquivos/ids/264186-500-auto?v=638322420121530000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,CAÑUELAS,"Aceite de Girasol Cañuelas 1,5 Lts.",,$3.130,,2086.67LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-canuelas-15-lts-73552/p,https://ardiaprod.vtexassets.com/arquivos/ids/299028-500-auto?v=638503265203070000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,PUREZA,"Aceite de Girasol Pureza 1,5 Lts.",,$3.470,,2313.33LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-pureza-15-lts-265505/p,https://ardiaprod.vtexassets.com/arquivos/ids/273417-500-auto?v=638322551952030000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,DIA,Aceite en Aerosol DIA 120 Gr.,,$2.190,,18250.00KG,https://diaonline.supermercadosdia.com.ar/aceite-en-aerosol-dia-120-gr-53460/p,https://ardiaprod.vtexassets.com/arquivos/ids/289222-500-auto?v=638410325751770000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,NATURA,"Aceite Girasol Natural 0,9 L.",,$1.950,,2166.67LT,https://diaonline.supermercadosdia.com.ar/aceite-girasol-natural-09-l-78855/p,https://ardiaprod.vtexassets.com/arquivos/ids/264602-500-auto?v=638322426140530000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,COCINERO,Aceite Girasol Vitamina D Cocinero 900 Ml.,,$1.890,,2100.00LT,https://diaonline.supermercadosdia.com.ar/aceite-girasol-vitamina-d-cocinero-900-ml-300863/p,https://ardiaprod.vtexassets.com/arquivos/ids/288907-500-auto?v=638399773050400000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,PUREZA,Aceite de Girasol Pureza 900 Ml.,,$2.150,,2388.89LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-pureza-900-ml-265504/p,https://ardiaprod.vtexassets.com/arquivos/ids/273416-500-auto?v=638322551934170000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,COCINERO,Aceite de Girasol Cocinero Alto Oléico 900 Ml.,,$2.070,,2300.00LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-cocinero-alto-oleico-900-ml-267712/p,https://ardiaprod.vtexassets.com/arquivos/ids/273879-500-auto?v=638322558287630000&width=500&height=auto&aspect=true
almacen,aceites-de-girasol,,COCINERO,"Aceite de Girasol Cocinero Alto Oléico 1,5 Lts.",,$3.210,,2140.00LT,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-cocinero-alto-oleico-15-lts-267710/p,https://ardiaprod.vtexassets.com/arquivos/ids/273878-500-auto?v=638322558247400000&width=500&height=auto&aspect=true
