categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,aceitunas-y-encurtidos,,DIA,Aceitunas Verdes Sin Carozo Dia 160 Gr.,,$1.500,,9375.00KG,https://diaonline.supermercadosdia.com.ar/aceitunas-verdes-sin-carozo-dia-160-gr-298494/p,https://ardiaprod.vtexassets.com/arquivos/ids/297904-500-auto?v=638496356869800000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,DIA,Aceitunas Verdes Dia 175 Gr.,,$1.100,,6285.71KG,https://diaonline.supermercadosdia.com.ar/aceitunas-verdes-dia-175-gr-298495/p,https://ardiaprod.vtexassets.com/arquivos/ids/297907-500-auto?v=638496356902600000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,CASTELL,Aceituna Verde Descarozada Castell 80 Gr,,$1.290,,16125.00KG,https://diaonline.supermercadosdia.com.ar/aceituna-verde-descarozada-castell-80-gr-295513/p,https://ardiaprod.vtexassets.com/arquivos/ids/281546-500-auto?v=638322655648570000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,CASTELL,Aceituna Verde Descarozada Castell 150 Gr,,$2.195,,14633.33KG,https://diaonline.supermercadosdia.com.ar/aceituna-verde-descarozada-castell-150-gr-295512/p,https://ardiaprod.vtexassets.com/arquivos/ids/281544-500-auto?v=638322655627830000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,CASTELL,Aceitunas Verdes Castell 180 Gr,,$1.665,,9250.00KG,https://diaonline.supermercadosdia.com.ar/aceitunas-verdes-castell-180-gr-295511/p,https://ardiaprod.vtexassets.com/arquivos/ids/281542-500-auto?v=638322655601100000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,CASTELL,Aceituna Verde En Rodajas Castell 150 Gr,,$1.795,,11966.67KG,https://diaonline.supermercadosdia.com.ar/aceituna-verde-en-rodajas-castell-150-gr-171781/p,https://ardiaprod.vtexassets.com/arquivos/ids/267901-500-auto?v=638322470804000000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,DIA,Aceitunas Verde Rodajas Dia 155 Gr.,,$1.300,,8387.10KG,https://diaonline.supermercadosdia.com.ar/aceitunas-verde-rodajas-dia-155-gr-298496/p,https://ardiaprod.vtexassets.com/arquivos/ids/301099-500-auto?v=638522267278100000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,CASTELL,Aceituna Verdes En Rodajas Doy Pack Castell 80 Gr,,$1.050,,13125.00KG,https://diaonline.supermercadosdia.com.ar/aceituna-verdes-en-rodajas-doy-pack-castell-80-gr-295509/p,https://ardiaprod.vtexassets.com/arquivos/ids/281538-500-auto?v=638322655555100000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,DIA,Aceituna Verde Rellena Dia 165 Gr.,,$1.500,,9090.91KG,https://diaonline.supermercadosdia.com.ar/aceituna-verde-rellena-dia-165-gr-298497/p,https://ardiaprod.vtexassets.com/arquivos/ids/301101-500-auto?v=638522267305830000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,CASTELL,Pickles Castell 140 Gr.,,$1.745,,12464.29KG,https://diaonline.supermercadosdia.com.ar/pickles-castell-140-gr-299066/p,https://ardiaprod.vtexassets.com/arquivos/ids/290700-500-auto?v=638429283185000000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,CASTELL,Aceitunas Verde Rellenas Doy Pack Castell 100 Gr,,$1.415,,14150.00KG,https://diaonline.supermercadosdia.com.ar/aceitunas-verde-rellenas-doy-pack-castell-100-gr-295510/p,https://ardiaprod.vtexassets.com/arquivos/ids/281540-500-auto?v=638322655578330000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,SIN MARCA,Aceitunas Verdes Rellenas Doy Pack Castell 180 Gr,,$2.280,,12666.67KG,https://diaonline.supermercadosdia.com.ar/aceitunas-verdes-rellenas-doy-pack-castell-180-gr-56152/p,https://ardiaprod.vtexassets.com/arquivos/ids/264169-500-auto?v=638322419888300000&width=500&height=auto&aspect=true
almacen,aceitunas-y-encurtidos,,CASTELL,Aceitunas Negras Castell 100 Gr.,,$1.185,,11850.00KG,https://diaonline.supermercadosdia.com.ar/aceitunas-negras-castell-100-gr-118558/p,https://ardiaprod.vtexassets.com/arquivos/ids/265697-500-auto?v=638322441200070000&width=500&height=auto&aspect=true
