categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,acetos-vinagres-y-limon,,DIA,Vinagre de Alcohol DIA 1 Lt.,,"$890,00",,890.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-dia-1-lt-53468/p,https://ardiaprod.vtexassets.com/arquivos/ids/264007-500-auto?v=638322417504230000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,CASALTA,Vinagre De Alcohol Casalta 1 Lt.,,"$1.270,00",,1270.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-casalta-1-lt-300859/p,https://ardiaprod.vtexassets.com/arquivos/ids/289278-500-auto?v=638410326456000000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,CASALTA,Aceto Balsamico Reduccion Casalta 250 Ml.,,"$4.180,00",,16720.00LT,https://diaonline.supermercadosdia.com.ar/aceto-balsamico-reduccion-casalta-250-ml-300858/p,https://ardiaprod.vtexassets.com/arquivos/ids/289276-500-auto?v=638410326431970000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,FAVINCO,Vinagre De Alcohol Favinco 5 Lt.,,"$4.090,00",,818.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-favinco-5-lt-103895/p,https://ardiaprod.vtexassets.com/arquivos/ids/298193-500-auto?v=638500674409400000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,CASALTA,Aceto Balsamico Clasico Casalta 250 Ml.,,"$3.240,00",,12960.00LT,https://diaonline.supermercadosdia.com.ar/aceto-balsamico-clasico-casalta-250-ml-300862/p,https://ardiaprod.vtexassets.com/arquivos/ids/289281-500-auto?v=638410326500000000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,CASALTA,Vinagre De Manzana Casalta 500 Ml.,,"$1.780,00",,3560.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-manzana-casalta-500-ml-300861/p,https://ardiaprod.vtexassets.com/arquivos/ids/289280-500-auto?v=638410326486330000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,CASALTA,Vinagre De Vino Casalta 500 Ml.,,"$1.420,00",,2840.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-vino-casalta-500-ml-300860/p,https://ardiaprod.vtexassets.com/arquivos/ids/289279-500-auto?v=638410326471100000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,MENOYO,Vinagre de Alcohol Menoyo 1 L.,,"$1.070,00",,1070.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-menoyo-1-l-27264/p,https://ardiaprod.vtexassets.com/arquivos/ids/288319-500-auto?v=638393890126900000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,MENOYO,Vinagre de Alcohol Menoyo 500 Ml.,,"$510,00",,1020.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-menoyo-500-ml-178256/p,https://ardiaprod.vtexassets.com/arquivos/ids/268258-500-auto?v=638322475484330000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,DIA,Vinagre de Manzana DIA 500 Ml.,,"$1.090,00",,2180.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-manzana-dia-500-ml-53469/p,https://ardiaprod.vtexassets.com/arquivos/ids/264008-500-auto?v=638322417519870000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,COCINERO,Aceto Balsámico Cocinero 250 Ml.,,"$1.390,00",,5560.00LT,https://diaonline.supermercadosdia.com.ar/aceto-balsamico-cocinero-250-ml-149352/p,https://ardiaprod.vtexassets.com/arquivos/ids/266955-500-auto?v=638322458266030000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,MENOYO,Vinagre de Manzana Menoyo 500 Ml.,,"$1.560,00",,3120.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-manzana-menoyo-500-ml-27285/p,https://ardiaprod.vtexassets.com/arquivos/ids/263257-500-auto?v=638322406026100000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,DIA,Vinagre de Vino DIA 500 Ml.,,"$900,00",,1800.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-vino-dia-500-ml-53470/p,https://ardiaprod.vtexassets.com/arquivos/ids/264009-500-auto?v=638322417536570000&width=500&height=auto&aspect=true
almacen,acetos-vinagres-y-limon,,MENOYO,Vinagre de Vino Menoyo 500 Ml.,,"$1.360,00",,2720.00LT,https://diaonline.supermercadosdia.com.ar/vinagre-de-vino-menoyo-500-ml-27279/p,https://ardiaprod.vtexassets.com/arquivos/ids/263256-500-auto?v=638322406012670000&width=500&height=auto&aspect=true
