categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,alfajores,-40%,OREO,Alfajor Oreo Triple 56 Gr.,40%,"$714,00",$1.190,21250.00KG,https://diaonline.supermercadosdia.com.ar/alfajor-oreo-triple-56-gr-274632/p,https://ardiaprod.vtexassets.com/arquivos/ids/294381-500-auto?v=638458629425900000&width=500&height=auto&aspect=true
almacen,alfajores,-40%,PEPITOS,Alfajor Pepitos Triple 57 Gr.,40%,"$714,00",$1.190,20877.19KG,https://diaonline.supermercadosdia.com.ar/alfajor-pepitos-triple-57-gr-23430/p,https://ardiaprod.vtexassets.com/arquivos/ids/293920-500-auto?v=638458623728000000&width=500&height=auto&aspect=true
almacen,alfajores,-40%,TERRABUSI,Alfajor Terrabusi Triple Clásico 70 Gr.,40%,"$714,00",$1.190,17000.00KG,https://diaonline.supermercadosdia.com.ar/alfajor-terrabusi-triple-clasico-70-gr-23423/p,https://ardiaprod.vtexassets.com/arquivos/ids/293905-500-auto?v=638458623571870000&width=500&height=auto&aspect=true
almacen,alfajores,-21%,CHOCOARROZ,Alfajor de Arroz Chocoarroz con Dulce de Leche 22 Gr.,21%,"$500,00","$630,00",22727.27KG,https://diaonline.supermercadosdia.com.ar/alfajor-de-arroz-chocoarroz-con-dulce-de-leche-22-gr-274176/p,https://ardiaprod.vtexassets.com/arquivos/ids/276150-500-auto?v=638322588668930000&width=500&height=auto&aspect=true
almacen,alfajores,-50%,SIN CULPA,Alfajor Alfacake Cream Sinculpa 55 Gr.,50%,"$450,00","$900,00",8181.82KG,https://diaonline.supermercadosdia.com.ar/alfajor-alfacake-cream-sinculpa-55-gr-299082/p,https://ardiaprod.vtexassets.com/arquivos/ids/282229-500-auto?v=638326238122370000&width=500&height=auto&aspect=true
almacen,alfajores,-28%,SIN CULPA,Alfajor Dulce Cream Sinculpa 55 Gr.,28%,"$650,00","$900,00",11818.18KG,https://diaonline.supermercadosdia.com.ar/alfajor-dulce-cream-sinculpa-55-gr-299083/p,https://ardiaprod.vtexassets.com/arquivos/ids/282231-500-auto?v=638326238146330000&width=500&height=auto&aspect=true
almacen,alfajores,-25%,SIN CULPA,Alfajor Frutal De Naranja Sinculpa 35 Gr.,25%,"$450,00","$600,00",12857.14KG,https://diaonline.supermercadosdia.com.ar/alfajor-frutal-de-naranja-sinculpa-35-gr-299084/p,https://ardiaprod.vtexassets.com/arquivos/ids/282233-500-auto?v=638326238170300000&width=500&height=auto&aspect=true
almacen,alfajores,-23%,SIN CULPA,Alfajor Frutos Rojos Sinculpa 35 Gr.,23%,"$575,00","$750,00",16428.57KG,https://diaonline.supermercadosdia.com.ar/alfajor-frutos-rojos-sinculpa-35-gr-299105/p,https://ardiaprod.vtexassets.com/arquivos/ids/282235-500-auto?v=638326238199730000&width=500&height=auto&aspect=true
almacen,alfajores,-25%,SIN CULPA,Alfajor Frutilla Sinculpa 35 Gr.,25%,"$450,00","$600,00",12857.14KG,https://diaonline.supermercadosdia.com.ar/alfajor-frutilla-sinculpa-35-gr-299106/p,https://ardiaprod.vtexassets.com/arquivos/ids/282236-500-auto?v=638326238215530000&width=500&height=auto&aspect=true
almacen,alfajores,,GENIO,Alfajor Genio Triple con Dulce de Leche 60 Gr.,2x1,"$500,00",,8333.33KG,https://diaonline.supermercadosdia.com.ar/alfajor-genio-triple-con-dulce-de-leche-60-gr-288462/p,https://ardiaprod.vtexassets.com/arquivos/ids/279786-500-auto?v=638322633301200000&width=500&height=auto&aspect=true
