categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,arroz-largo,-28%,MOLINOS ALA,Arroz Largo Fino Ala 1Kg,28%,"$1.800,00","$2.500,00",1800.00KG,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-ala-1kg-25417/p,https://ardiaprod.vtexassets.com/arquivos/ids/297151-500-auto?v=638488575262300000&width=500&height=auto&aspect=true
almacen,arroz-largo,-25%,MATARAZZO,Fideos Tirabuzon N28 Matarazzo 500 Gr.,25%,"$1.050,00","$1.400,00",2800.00KG,https://diaonline.supermercadosdia.com.ar/fideos-tirabuzon-n28-matarazzo-500-gr-38574/p,https://ardiaprod.vtexassets.com/arquivos/ids/285764-500-auto?v=638357496167670000&width=500&height=auto&aspect=true
almacen,arroz-largo,-30%,DIA,Arvejas secas remojadas DIA 300 Gr.,30%,"$480,00","$690,00",1600.00KG,https://diaonline.supermercadosdia.com.ar/arvejas-secas-remojadas-dia-300-gr-279121/p,https://ardiaprod.vtexassets.com/arquivos/ids/286186-500-auto?v=638363372702100000&width=500&height=auto&aspect=true
almacen,arroz-largo,-30%,MAGGI,Puré De Papas Original X 125 Gr.,30%,"$1.442,00","$2.060,00",11600.00KG,https://diaonline.supermercadosdia.com.ar/pure-de-papas-original-x-125-gr-299703/p,https://ardiaprod.vtexassets.com/arquivos/ids/294579-500-auto?v=638458632108500000&width=500&height=auto&aspect=true
almacen,arroz-largo,-37%,DIA,Tomate Perita Cubeteado Dia con Agregado de Puré de Tomate 400 Gr.,37%,"$820,00","$1.300,00",2050.00KG,https://diaonline.supermercadosdia.com.ar/tomate-perita-cubeteado-dia-con-agregado-de-pure-de-tomate-400-gr-119003/p,https://ardiaprod.vtexassets.com/arquivos/ids/296538-500-auto?v=638478452968370000&width=500&height=auto&aspect=true
almacen,arroz-largo,-25%,MATARAZZO,Fideos Tallarin N5 Matarazzo 500 Gr.,25%,"$1.050,00","$1.400,00",2800.00KG,https://diaonline.supermercadosdia.com.ar/fideos-tallarin-n5-matarazzo-500-gr-42907/p,https://ardiaprod.vtexassets.com/arquivos/ids/285769-500-auto?v=638357496242530000&width=500&height=auto&aspect=true
almacen,arroz-largo,-30%,SAVORA,Mostaza Savora 500 Gr.,30%,"$927,50","$1.325,00",2800.00KG,https://diaonline.supermercadosdia.com.ar/mostaza-savora-500-gr-278069/p,https://ardiaprod.vtexassets.com/arquivos/ids/277623-500-auto?v=638322606625130000&width=500&height=auto&aspect=true
almacen,arroz-largo,-30%,HELLMANNS,Mayonesa De Ajo Hellmans 250 Gr,30%,"$1.148,00","$1.640,00",6560.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-de-ajo-hellmans-250-gr-291831/p,https://ardiaprod.vtexassets.com/arquivos/ids/280246-500-auto?v=638322639641770000&width=500&height=auto&aspect=true
almacen,arroz-largo,-40%,DOLCA,Bananita Dolca 14 Gr.,40%,"$366,00","$610,00",43571.43KG,https://diaonline.supermercadosdia.com.ar/bananita-dolca-14-gr-300588/p,https://ardiaprod.vtexassets.com/arquivos/ids/299204-500-auto?v=638504127279700000&width=500&height=auto&aspect=true
almacen,arroz-largo,-21%,HELLMANNS,Mayonesa Liviana Doy Pack Hellmann´s 475 Gr.,21%,"$1.100,00","$1.390,00",2315.79KG,https://diaonline.supermercadosdia.com.ar/mayonesa-liviana-doy-pack-hellmann-s-475-gr-59852/p,https://ardiaprod.vtexassets.com/arquivos/ids/264246-500-auto?v=638322420960000000&width=500&height=auto&aspect=true
