categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,budines-y-magdalenas,-25%,9 DE ORO,Mini Budin Relleno con Dulce de Leche 215 Gr.,25%,$1.490,",00$1",6930.23KG,https://diaonline.supermercadosdia.com.ar/mini-budin-relleno-con-dulce-de-leche-215-gr-245368/p,https://ardiaprod.vtexassets.com/arquivos/ids/288937-500-auto?v=638404121013770000&width=500&height=auto&aspect=true
almacen,budines-y-magdalenas,-30%,9 DE ORO,Budín 9 de Oro Vainilla 170 Gr.,30%,$1.300,",00$1",7647.06KG,https://diaonline.supermercadosdia.com.ar/budin-9-de-oro-vainilla-170-gr-279366/p,https://ardiaprod.vtexassets.com/arquivos/ids/278025-500-auto?v=638322611583470000&width=500&height=auto&aspect=true
almacen,budines-y-magdalenas,-21%,9 DE ORO,Budin Vainilla 9 De Oro 220 Gr.,21%,"$600,00","$755,00",2727.27KG,https://diaonline.supermercadosdia.com.ar/budin-vainilla-9-de-oro-220-gr-290723/p,https://ardiaprod.vtexassets.com/arquivos/ids/280041-500-auto?v=638322636850100000&width=500&height=auto&aspect=true
almacen,budines-y-magdalenas,-32%,DULCE MAMA,Magdalenas Dulce Mamá Vainilla 200 Gr.,32%,$2.000,",00$2",10000.00KG,https://diaonline.supermercadosdia.com.ar/magdalenas-dulce-mama-vainilla-200-gr-271358/p,https://ardiaprod.vtexassets.com/arquivos/ids/274958-500-auto?v=638322573209800000&width=500&height=auto&aspect=true
almacen,budines-y-magdalenas,-30%,DULCE MAMA,Budín Dulce Mamá Marmolado 170 Gr.,30%,$1.250,",00$1",7352.94KG,https://diaonline.supermercadosdia.com.ar/budin-dulce-mama-marmolado-170-gr-268714/p,https://ardiaprod.vtexassets.com/arquivos/ids/274111-500-auto?v=638322562252930000&width=500&height=auto&aspect=true
almacen,budines-y-magdalenas,,SMAMS,Budin De Vainilla Con Chips Smams 200 Gr.,,$2.590,,12950.00KG,https://diaonline.supermercadosdia.com.ar/budin-de-vainilla-con-chips-smams-200-gr-295830/p,https://ardiaprod.vtexassets.com/arquivos/ids/287246-500-auto?v=638380096864770000&width=500&height=auto&aspect=true
almacen,budines-y-magdalenas,,SMAMS,Budin Vainilla Sin Tacc Smams 200 Gr.,,$2.590,,12950.00KG,https://diaonline.supermercadosdia.com.ar/budin-vainilla-sin-tacc-smams-200-gr-295829/p,https://ardiaprod.vtexassets.com/arquivos/ids/286359-500-auto?v=638367690904370000&width=500&height=auto&aspect=true
almacen,budines-y-magdalenas,,SIN MARCA,Budín Marmolado 220 Gr,,"$790,00",,3590.91KG,https://diaonline.supermercadosdia.com.ar/budin-marmolado-220-gr-262288/p,https://ardiaprod.vtexassets.com/arquivos/ids/272686-500-auto?v=638322542068130000&width=500&height=auto&aspect=true
almacen,budines-y-magdalenas,,SIN MARCA,Budín de Vainilla 220 Gr.,,"$790,00",,3590.91KG,https://diaonline.supermercadosdia.com.ar/budin-de-vainilla-220-gr-262339/p,https://ardiaprod.vtexassets.com/arquivos/ids/272714-500-auto?v=638322542416600000&width=500&height=auto&aspect=true
almacen,budines-y-magdalenas,,SIN MARCA,Budín Chocolate 250 Gr.,,"$790,00",,3590.91KG,https://diaonline.supermercadosdia.com.ar/budin-chocolate-250-gr-255902/p,https://ardiaprod.vtexassets.com/arquivos/ids/271797-500-auto?v=638322529133930000&width=500&height=auto&aspect=true
