categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,caramelos-y-gomitas,-30%,YUMMY,Gomitas Ositos Acido Yummy 30 Gr.,30%,"$350,00","$500,00",11666.67KG,https://diaonline.supermercadosdia.com.ar/gomitas-ositos-acido-yummy-30-gr-16732/p,https://ardiaprod.vtexassets.com/arquivos/ids/290895-500-auto?v=638430970466200000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-30%,DRF,Pastillas Sabor Menta DRF 23 Gr,30%,"$225,00","$320,00",9.78GR,https://diaonline.supermercadosdia.com.ar/pastillas-sabor-menta-drf-23-gr-110431/p,https://ardiaprod.vtexassets.com/arquivos/ids/265351-500-auto?v=638322436725770000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,FLYNN PAFF,Caramelos Tutti Frutti Flynn Paff 8 Gr.,2x1,"$140,00",,17500.00KG,https://diaonline.supermercadosdia.com.ar/caramelos-tutti-frutti-flynn-paff-8-gr-300674/p,https://ardiaprod.vtexassets.com/arquivos/ids/287294-500-auto?v=638380098391600000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-25%,YIPI,Pastillas Yipi 30 Gr,25%,"$240,00","$320,00",8000.00KG,https://diaonline.supermercadosdia.com.ar/pastillas-yipi-30-gr-132876/p,https://ardiaprod.vtexassets.com/arquivos/ids/266174-500-auto?v=638322447471900000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-23%,BILLIKEN,Gomitas Frutales Billiken 150 Gr,23%,"$990,00",$1.290,6600.00KG,https://diaonline.supermercadosdia.com.ar/gomitas-frutales-billiken-150-gr-285931/p,https://ardiaprod.vtexassets.com/arquivos/ids/279588-500-auto?v=638322630480500000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-23%,MENTITAS,Pastillas Menta Mentita 26 Gr.,23%,"$270,00","$350,00",10384.62KG,https://diaonline.supermercadosdia.com.ar/pastillas-menta-mentita-26-gr-160526/p,https://ardiaprod.vtexassets.com/arquivos/ids/282167-500-auto?v=638326237290630000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-22%,DORIN'S,Corazoncitos Splash Dornis 25 Gr.,22%,"$250,00","$320,00",10000.00KG,https://diaonline.supermercadosdia.com.ar/corazoncitos-splash-dornis-25-gr-285642/p,https://ardiaprod.vtexassets.com/arquivos/ids/291806-500-auto?v=638448986496600000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-24%,GUMMI,Gomita Gummi Zone Burger 9 Gr.,24%,"$190,00","$250,00",21111.11KG,https://diaonline.supermercadosdia.com.ar/gomita-gummi-zone-burger-9-gr-283745/p,https://ardiaprod.vtexassets.com/arquivos/ids/279108-500-auto?v=638322624191430000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-24%,GUMMI,Gomita Gummi Zone Doggie 9 Gr.,24%,"$190,00","$250,00",21111.11KG,https://diaonline.supermercadosdia.com.ar/gomita-gummi-zone-doggie-9-gr-283746/p,https://ardiaprod.vtexassets.com/arquivos/ids/279109-500-auto?v=638322624204600000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-17%,YUMMY,Gomtias Ositos Yummy 150 Gr.,17%,$1.250,",00$1",8333.33KG,https://diaonline.supermercadosdia.com.ar/gomtias-ositos-yummy-150-gr-110432/p,https://ardiaprod.vtexassets.com/arquivos/ids/290908-500-auto?v=638430970622170000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-17%,YUMMY,Gomitas Moritas Yummy 150 Gr.,17%,$1.250,",00$1",8333.33KG,https://diaonline.supermercadosdia.com.ar/gomitas-moritas-yummy-150-gr-11819/p,https://ardiaprod.vtexassets.com/arquivos/ids/290893-500-auto?v=638430970442570000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-17%,BILLIKEN,Gomitas Tutti Fruti Billiken 150 Gr.,17%,"$990,00",$1.190,6600.00KG,https://diaonline.supermercadosdia.com.ar/gomitas-tutti-fruti-billiken-150-gr-300133/p,https://ardiaprod.vtexassets.com/arquivos/ids/285048-500-auto?v=638349688880400000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,RED BULL,Gomitas Regaliz Frutilla Bulldog 18 Gr.,2 x $450,"$300,00",,16666.67KG,https://diaonline.supermercadosdia.com.ar/gomitas-regaliz-frutilla-bulldog-18-gr-6269/p,https://ardiaprod.vtexassets.com/arquivos/ids/290889-500-auto?v=638430970389000000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-11%,WAMIS,Chupetón Frutal Wamis 90 Gr.,11%,"$850,00","$950,00",9444.44KG,https://diaonline.supermercadosdia.com.ar/chupeton-frutal-wamis-90-gr-139101/p,https://ardiaprod.vtexassets.com/arquivos/ids/300129-500-auto?v=638513628179530000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-8%,LIPO,Caramelo Relleno de Miel Lipo 150 Gr.,8%,$1.290,",00$1",8600.00KG,https://diaonline.supermercadosdia.com.ar/caramelo-relleno-de-miel-lipo-150-gr-217395/p,https://ardiaprod.vtexassets.com/arquivos/ids/300137-500-auto?v=638513628282330000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,-8%,LIPO,Caramelos Super Ácidos Lipo 150 Gr.,8%,$1.290,",00$1",8600.00KG,https://diaonline.supermercadosdia.com.ar/caramelos-super-acidos-lipo-150-gr-78383/p,https://ardiaprod.vtexassets.com/arquivos/ids/300105-500-auto?v=638513627953100000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,MENTITAS,Pastilla Frutal Mentitas 26 Grs.,2 X $550,"$350,00",,13461.54KG,https://diaonline.supermercadosdia.com.ar/pastilla-frutal-mentitas-26-grs-160527/p,https://ardiaprod.vtexassets.com/arquivos/ids/267128-500-auto?v=638322460627070000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,CLIGHT,Caramelos Clight Frambuesa 20 Gr.,2 x $1000,"$680,00",,34000.00KG,https://diaonline.supermercadosdia.com.ar/caramelos-clight-frambuesa-20-gr-286160/p,https://ardiaprod.vtexassets.com/arquivos/ids/279606-500-auto?v=638322630745200000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,BILLIKEN,Caramelo Rompe Muela Billiken 11 Grs.,,"$150,00",,13636.36KG,https://diaonline.supermercadosdia.com.ar/caramelo-rompe-muela-billiken-11-grs-302612/p,https://ardiaprod.vtexassets.com/arquivos/ids/296607-500-auto?v=638479936503930000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,PALITOS DE LA SELVA,Caramelo Masticable Palitos de la Selva 150 Gr.,,$1.450,,9666.67KG,https://diaonline.supermercadosdia.com.ar/caramelo-masticable-palitos-de-la-selva-150-gr-300675/p,https://ardiaprod.vtexassets.com/arquivos/ids/287619-500-auto?v=638383484843370000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,FLYNN PAFF,Caramelos Confitados Flynn Paff 50 Gr.,,"$930,00",,18600.00KG,https://diaonline.supermercadosdia.com.ar/caramelos-confitados-flynn-paff-50-gr-303104/p,https://ardiaprod.vtexassets.com/arquivos/ids/299729-500-auto?v=638508833787130000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,BILLIKEN,Gomitas Rueditas Billiken 150 Gr.,,$1.250,,8333.33KG,https://diaonline.supermercadosdia.com.ar/gomitas-rueditas-billiken-150-gr-300673/p,https://ardiaprod.vtexassets.com/arquivos/ids/287292-500-auto?v=638380098369270000&width=500&height=auto&aspect=true
