categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,chicles-y-chupetines,-20%,SIN MARCA,Gotitas de Amor Billiken 35 Gr.,20%,"$280,00","$350,00",8000.00KG,https://diaonline.supermercadosdia.com.ar/gotitas-de-amor-billiken-35-gr-110567/p,https://ardiaprod.vtexassets.com/arquivos/ids/265359-500-auto?v=638322436847670000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,-20%,BILLIKEN,Gomitas Billiken Frutales 30 Gr.,20%,"$280,00","$350,00",9333.33KG,https://diaonline.supermercadosdia.com.ar/gomitas-billiken-frutales-30-gr-150169/p,https://ardiaprod.vtexassets.com/arquivos/ids/266985-500-auto?v=638322458731030000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,-17%,YUMMY,Gomitas Yummy Ositos 30 Gr.,17%,"$350,00","$420,00",11666.67KG,https://diaonline.supermercadosdia.com.ar/gomitas-yummy-ositos-30-gr-111498/p,https://ardiaprod.vtexassets.com/arquivos/ids/265375-500-auto?v=638322437081030000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,BUBBALOO,Chicle Bubbaloo Uva 5 Gr.,2 x $160,"$105,00",,21000.00KG,https://diaonline.supermercadosdia.com.ar/chicle-bubbaloo-uva-5-gr-288531/p,https://ardiaprod.vtexassets.com/arquivos/ids/279792-500-auto?v=638322633390400000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,BELDENT,Chicles Beldent Menta 20 Gr.,2 x $1000,"$650,00",,65000.00KG,https://diaonline.supermercadosdia.com.ar/chicles-beldent-menta-20-gr-269580/p,https://ardiaprod.vtexassets.com/arquivos/ids/294228-500-auto?v=638458627523330000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,BUBBALOO,Chicle Bubbaloo Tutti Frutti 5 Gr.,2 x $160,"$105,00",,21000.00KG,https://diaonline.supermercadosdia.com.ar/chicle-bubbaloo-tutti-frutti-5-gr-288529/p,https://ardiaprod.vtexassets.com/arquivos/ids/279790-500-auto?v=638322633361400000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,BELDENT,Chicles Beldent Menta Fuerte 20 Gr.,2 x $1000,"$650,00",,65000.00KG,https://diaonline.supermercadosdia.com.ar/chicles-beldent-menta-fuerte-20-gr-269579/p,https://ardiaprod.vtexassets.com/arquivos/ids/294224-500-auto?v=638458627474000000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,BUBBALOO,Chicle Bubbaloo Frutilla 5 Gr.,2 x $160,"$105,00",,21000.00KG,https://diaonline.supermercadosdia.com.ar/chicle-bubbaloo-frutilla-5-gr-288530/p,https://ardiaprod.vtexassets.com/arquivos/ids/279791-500-auto?v=638322633376000000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,BUBBALOO,Chicle Bubbaloo Menta 5 Gr.,2 x $160,"$105,00",,21000.00KG,https://diaonline.supermercadosdia.com.ar/chicle-bubbaloo-menta-5-gr-288528/p,https://ardiaprod.vtexassets.com/arquivos/ids/279789-500-auto?v=638322633346700000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,BELDENT,Chicles Beldent Frutilla 20 Gr.,2 x $1000,"$650,00",,65000.00KG,https://diaonline.supermercadosdia.com.ar/chicles-beldent-frutilla-20-gr-271838/p,https://ardiaprod.vtexassets.com/arquivos/ids/294272-500-auto?v=638458628101070000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,BELDENT,Chicles Beldent Globo 20 Gr.,2 x $1000,"$650,00",,65000.00KG,https://diaonline.supermercadosdia.com.ar/chicles-beldent-globo-20-gr-270871/p,https://ardiaprod.vtexassets.com/arquivos/ids/294238-500-auto?v=638458627660600000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,LENGUETAZO,Caramelo Masticable Sabor Tutti Frutti Lenguetazo 13 Gr.,2 x $360,"$216,00",,16615.38KG,https://diaonline.supermercadosdia.com.ar/caramelo-masticable-sabor-tutti-frutti-lenguetazo-13-gr-103342/p,https://ardiaprod.vtexassets.com/arquivos/ids/265166-500-auto?v=638322434195500000&width=500&height=auto&aspect=true
almacen,chicles-y-chupetines,,CRAZY POP,Chupetín Crazy Pop Uva 12 Gr.,,"$600,00",,50000.00KG,https://diaonline.supermercadosdia.com.ar/chupetin-crazy-pop-uva-12-gr-258439/p,https://ardiaprod.vtexassets.com/arquivos/ids/272030-500-auto?v=638322532586900000&width=500&height=auto&aspect=true
