categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,chocolates,-40%,DOLCA,Bananita Dolca 14 Gr.,40%,"$366,00","$610,00",43571.43KG,https://diaonline.supermercadosdia.com.ar/bananita-dolca-14-gr-300588/p,https://ardiaprod.vtexassets.com/arquivos/ids/299204-500-auto?v=638504127279700000&width=500&height=auto&aspect=true
almacen,chocolates,-40%,MILKA,Chocolate con Castañas Milka 55 Gr.,40%,$1.134,",00$1",25454.55KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-castanas-milka-55-gr-283399/p,https://ardiaprod.vtexassets.com/arquivos/ids/294467-500-auto?v=638458630523700000&width=500&height=auto&aspect=true
almacen,chocolates,-50%,KIT KAT,Oblea Kitkat 4 Fingers X 41.5 Gr.,50%,"$845,00",$1.690,40722.89KG,https://diaonline.supermercadosdia.com.ar/oblea-kitkat-4-fingers-x-415-gr-148828/p,https://ardiaprod.vtexassets.com/arquivos/ids/294030-500-auto?v=638458625068970000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,NESTLE,Nestlé Classic Chocolate Con Leche X 80 Gr.,35%,$1.930,",50$2",24875.00KG,https://diaonline.supermercadosdia.com.ar/nestle-classic-chocolate-con-leche-x-80-gr-289455/p,https://ardiaprod.vtexassets.com/arquivos/ids/294518-500-auto?v=638458631191970000&width=500&height=auto&aspect=true
almacen,chocolates,-40%,NESTLE,Chocolate con Maní Nestle x 33 Gr.,40%,"$648,00",$1.080,32727.27KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-mani-nestle-x-33-gr-274873/p,https://ardiaprod.vtexassets.com/arquivos/ids/301077-500-auto?v=638522266917100000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,CADBURY,Chocolate Cadbury Frutilla Relleno Yoghurt 82 Gr.,35%,$1.686,",75$2",31646.34KG,https://diaonline.supermercadosdia.com.ar/chocolate-cadbury-frutilla-relleno-yoghurt-82-gr-274637/p,https://ardiaprod.vtexassets.com/arquivos/ids/294389-500-auto?v=638458629566770000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,SHOT,Chocolate Con Maní Shot 90 Gr.,35%,$1.550,",25$2",21111.11KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-mani-shot-90-gr-168862/p,https://ardiaprod.vtexassets.com/arquivos/ids/294058-500-auto?v=638458625417070000&width=500&height=auto&aspect=true
almacen,chocolates,-2%,SMACK,Bombo Mousse Chocolate Smack 16 Gr,2x12%,"$196,00","$200,00",12250.00KG,https://diaonline.supermercadosdia.com.ar/bombo-mousse-chocolate-smack-16-gr-293747/p,https://ardiaprod.vtexassets.com/arquivos/ids/280781-500-auto?v=638322645966430000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,SHOT,Chocolate Con Maní Shot 35 Gr.,35%,"$643,50","$990,00",28285.71KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-mani-shot-35-gr-110388/p,https://ardiaprod.vtexassets.com/arquivos/ids/293976-500-auto?v=638458624426900000&width=500&height=auto&aspect=true
almacen,chocolates,-40%,MILKA,Chocolate con Almendras Milka 55 Gr.,40%,$1.134,",00$1",25454.55KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-almendras-milka-55-gr-249905/p,https://ardiaprod.vtexassets.com/arquivos/ids/294164-500-auto?v=638458626768770000&width=500&height=auto&aspect=true
almacen,chocolates,-40%,MILKA,Chocolate con Leche Milka 55 Gr.,40%,$1.134,",00$1",25454.55KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-leche-milka-55-gr-249906/p,https://ardiaprod.vtexassets.com/arquivos/ids/294169-500-auto?v=638458626824570000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,CADBURY,Chocolate Cadbury Frutilla Relleno Yoghurt 29 Gr.,35%,"$617,50","$950,00",32758.62KG,https://diaonline.supermercadosdia.com.ar/chocolate-cadbury-frutilla-relleno-yoghurt-29-gr-21637/p,https://ardiaprod.vtexassets.com/arquivos/ids/298984-500-auto?v=638503264593230000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,SHOT,Chocolate Con Maní Shot 170 Gr.,35%,$2.808,",00$4",25411.76KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-mani-shot-170-gr-121964/p,https://ardiaprod.vtexassets.com/arquivos/ids/293990-500-auto?v=638458624586570000&width=500&height=auto&aspect=true
almacen,chocolates,-15%,BONAFIDE,Chocolate para Taza Bonafide 100 Gr.,15%,$1.860,",00$2",18600.00KG,https://diaonline.supermercadosdia.com.ar/chocolate-para-taza-bonafide-100-gr-259693/p,https://ardiaprod.vtexassets.com/arquivos/ids/272367-500-auto?v=638322537388770000&width=500&height=auto&aspect=true
almacen,chocolates,-42%,ROCKLETS,Huevo Chocolate Confites Rocklets 28 Gr.,42%,"$750,00",$1.290,26785.71KG,https://diaonline.supermercadosdia.com.ar/huevo-chocolate-confites-rocklets-28-gr-301988/p,https://ardiaprod.vtexassets.com/arquivos/ids/294894-500-auto?v=638461790641230000&width=500&height=auto&aspect=true
almacen,chocolates,-51%,VIZZIO,Chocolate Vizzio Leche 50 Gr.,51%,"$450,00","$925,00",9000.00KG,https://diaonline.supermercadosdia.com.ar/chocolate-vizzio-leche-50-gr-285394/p,https://ardiaprod.vtexassets.com/arquivos/ids/279461-500-auto?v=638322628691570000&width=500&height=auto&aspect=true
