categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,coberturas,-18%,DIA,Baño de Respotería DIA con Leche 150 Gr.,18%,"$1.400,00","$1.700,00",9333.33KG,https://diaonline.supermercadosdia.com.ar/bano-de-respoteria-dia-con-leche-150-gr-276108/p,https://ardiaprod.vtexassets.com/arquivos/ids/277210-500-auto?v=638322601421000000&width=500&height=auto&aspect=true
almacen,coberturas,-18%,DIA,Baño de Repostería DIA Blanco 150 Gr.,18%,"$1.400,00","$1.700,00",9333.33KG,https://diaonline.supermercadosdia.com.ar/bano-de-reposteria-dia-blanco-150-gr-276107/p,https://ardiaprod.vtexassets.com/arquivos/ids/277209-500-auto?v=638322601403970000&width=500&height=auto&aspect=true
almacen,coberturas,-18%,DIA,Baño de Reposteria Semiamargo DIA 150 Gr.,18%,"$1.400,00","$1.700,00",9333.33KG,https://diaonline.supermercadosdia.com.ar/bano-de-reposteria-semiamargo-dia-150-gr-88002/p,https://ardiaprod.vtexassets.com/arquivos/ids/264845-500-auto?v=638322429317230000&width=500&height=auto&aspect=true
almacen,coberturas,,AGUILA,Baño de Repostería Chocolate con Leche Águila 150 Grs.,,"$1.935,00",,12900.00KG,https://diaonline.supermercadosdia.com.ar/bano-de-reposteria-chocolate-con-leche-aguila-150-grs-285698/p,https://ardiaprod.vtexassets.com/arquivos/ids/279534-500-auto?v=638322629721170000&width=500&height=auto&aspect=true
almacen,coberturas,,AGUILA,Baño de Repostería Celeste Águila 150 Grs.,,"$1.990,00",,13266.67KG,https://diaonline.supermercadosdia.com.ar/bano-de-reposteria-celeste-aguila-150-grs-82650/p,https://ardiaprod.vtexassets.com/arquivos/ids/264675-500-auto?v=638322427139600000&width=500&height=auto&aspect=true
almacen,coberturas,,AGUILA,Baño de Repostería Rosa Águila 150 Gr.,,"$2.065,00",,13766.67KG,https://diaonline.supermercadosdia.com.ar/bano-de-reposteria-rosa-aguila-150-gr-271281/p,https://ardiaprod.vtexassets.com/arquivos/ids/301501-500-auto?v=638531902345570000&width=500&height=auto&aspect=true
almacen,coberturas,,DIA,Gotitas DIA Chocolate con Leche 150 Gr.,,"$2.000,00",,13333.33KG,https://diaonline.supermercadosdia.com.ar/gotitas-dia-chocolate-con-leche-150-gr-277359/p,https://ardiaprod.vtexassets.com/arquivos/ids/277442-500-auto?v=638322604370800000&width=500&height=auto&aspect=true
almacen,coberturas,,DIA,Granas DIA Multicolor 50 Gr.,,"$550,00",,11000.00KG,https://diaonline.supermercadosdia.com.ar/granas-dia-multicolor-50-gr-275210/p,https://ardiaprod.vtexassets.com/arquivos/ids/276779-500-auto?v=638322596139800000&width=500&height=auto&aspect=true
almacen,coberturas,,DIA,Granas DIA Verdes 50 Gr.,,"$550,00",,11000.00KG,https://diaonline.supermercadosdia.com.ar/granas-dia-verdes-50-gr-275208/p,https://ardiaprod.vtexassets.com/arquivos/ids/276777-500-auto?v=638322596106470000&width=500&height=auto&aspect=true
almacen,coberturas,,DIA,Granas DIA Rosa 50 Gr.,,"$550,00",,11000.00KG,https://diaonline.supermercadosdia.com.ar/granas-dia-rosa-50-gr-275211/p,https://ardiaprod.vtexassets.com/arquivos/ids/276780-500-auto?v=638322596157270000&width=500&height=auto&aspect=true
almacen,coberturas,,DIA,Granas DIA Celeste 50 Gr.,,"$550,00",,11000.00KG,https://diaonline.supermercadosdia.com.ar/granas-dia-celeste-50-gr-275209/p,https://ardiaprod.vtexassets.com/arquivos/ids/276778-500-auto?v=638322596123100000&width=500&height=auto&aspect=true
almacen,coberturas,,AGUILA,Baño de Repostería Águila Semiamargo 150 Gr.,,"$1.935,00",,12900.00KG,https://diaonline.supermercadosdia.com.ar/bano-de-reposteria-aguila-semiamargo-150-gr-276037/p,https://ardiaprod.vtexassets.com/arquivos/ids/277173-500-auto?v=638322600905100000&width=500&height=auto&aspect=true
