categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,conservas-de-pescados,,MARBELLA,Merluza En Agua Marbella 340 Gr.,,$1.650,,4852.94KG,https://diaonline.supermercadosdia.com.ar/merluza-en-agua-marbella-340-gr-73028/p,https://ardiaprod.vtexassets.com/arquivos/ids/289183-500-auto?v=638406848473500000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,MARBELLA,Merluza En Aceite Marbella 340 Gr.,,$1.650,,4852.94KG,https://diaonline.supermercadosdia.com.ar/merluza-en-aceite-marbella-340-gr-57894/p,https://ardiaprod.vtexassets.com/arquivos/ids/289181-500-auto?v=638406848447970000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Caballa al natural DIA 380 Gr.,,$2.200,,5789.47KG,https://diaonline.supermercadosdia.com.ar/caballa-al-natural-dia-380-gr-55811/p,https://ardiaprod.vtexassets.com/arquivos/ids/297199-500-auto?v=638489440506200000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Lomitos de Atún al Natural Dia 170 Gr.,,$1.980,,11647.06KG,https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-al-natural-dia-170-gr-55812/p,https://ardiaprod.vtexassets.com/arquivos/ids/299018-500-auto?v=638503265083970000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Lomitos de Atún Al Natural DIA 354 Gr.,,$3.780,,10677.97KG,https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-al-natural-dia-354-gr-45125/p,https://ardiaprod.vtexassets.com/arquivos/ids/296556-500-auto?v=638479070667570000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Lomitos de Atún en Aceite Dia 170 Gr.,,$1.980,,11647.06KG,https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-en-aceite-dia-170-gr-55813/p,https://ardiaprod.vtexassets.com/arquivos/ids/299020-500-auto?v=638503265106630000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Caballa en Aceite DIA 380 Gr.,,$2.300,,6052.63KG,https://diaonline.supermercadosdia.com.ar/caballa-en-aceite-dia-380-gr-55810/p,https://ardiaprod.vtexassets.com/arquivos/ids/299017-500-auto?v=638503265063470000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Lomitos de Atún en Aceite Dia 354 Gr.,,$3.780,,10677.97KG,https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-en-aceite-dia-354-gr-45127/p,https://ardiaprod.vtexassets.com/arquivos/ids/296558-500-auto?v=638479070696730000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,MARBELLA,Caballa Al Agua Marbella 380 Gr.,,$2.350,,6184.21KG,https://diaonline.supermercadosdia.com.ar/caballa-al-agua-marbella-380-gr-298667/p,https://ardiaprod.vtexassets.com/arquivos/ids/285692-500-auto?v=638357492184270000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Atún Desmenuzado Al Natural Dia 170 Gr.,,$1.140,,6705.88KG,https://diaonline.supermercadosdia.com.ar/atun-desmenuzado-al-natural-dia-170-gr-59894/p,https://ardiaprod.vtexassets.com/arquivos/ids/296570-500-auto?v=638479070848000000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,MARBELLA,Caballa Marbella En Aceite 380 Gr.,,$2.585,,6802.63KG,https://diaonline.supermercadosdia.com.ar/caballa-marbella-en-aceite-380-gr-290730/p,https://ardiaprod.vtexassets.com/arquivos/ids/280048-500-auto?v=638322636960830000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Lomitos de Atún Al Natural Dia x 3 Uds.,,$3.630,,15125.00KG,https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-al-natural-dia-x-3-uds-77013/p,https://ardiaprod.vtexassets.com/arquivos/ids/296572-500-auto?v=638479070871800000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,MARBELLA,Sardinas en Aceite Marbella 120 Gr.,,$1.760,,14666.67KG,https://diaonline.supermercadosdia.com.ar/sardinas-en-aceite-marbella-120-gr-300346/p,https://ardiaprod.vtexassets.com/arquivos/ids/287268-500-auto?v=638380098055530000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,MARBELLA,Sardinas En Aceite Marbella 160 Gr.,,$1.470,,9187.50KG,https://diaonline.supermercadosdia.com.ar/sardinas-en-aceite-marbella-160-gr-290731/p,https://ardiaprod.vtexassets.com/arquivos/ids/280049-500-auto?v=638322636976270000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,TERRE&OCEAN,Filet De Merluza Al Natural Terre & Ocean 160 Gr,,$2.470,,15437.50KG,https://diaonline.supermercadosdia.com.ar/filet-de-merluza-al-natural-terre---ocean-160-gr-297479/p,https://ardiaprod.vtexassets.com/arquivos/ids/281858-500-auto?v=638322659959100000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Atún Desmenuzado en Aceite Dia 170 Gr.,,$1.140,,6705.88KG,https://diaonline.supermercadosdia.com.ar/atun-desmenuzado-en-aceite-dia-170-gr-55817/p,https://ardiaprod.vtexassets.com/arquivos/ids/296568-500-auto?v=638479070824470000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Anchoas DIA 90 Gr.,,$4.990,,55444.44KG,https://diaonline.supermercadosdia.com.ar/anchoas-dia-90-gr-275721/p,https://ardiaprod.vtexassets.com/arquivos/ids/276956-500-auto?v=638322598502030000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Anchoas Provenzal DIA 90 Gr.,,$4.990,,55444.44KG,https://diaonline.supermercadosdia.com.ar/anchoas-provenzal-dia-90-gr-275720/p,https://ardiaprod.vtexassets.com/arquivos/ids/276954-500-auto?v=638322598477700000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Anchoas Calabresa DIA 90 Gr.,,$4.990,,55444.44KG,https://diaonline.supermercadosdia.com.ar/anchoas-calabresa-dia-90-gr-275719/p,https://ardiaprod.vtexassets.com/arquivos/ids/276951-500-auto?v=638322598440570000&width=500&height=auto&aspect=true
almacen,conservas-de-pescados,,DIA,Lomitos de Atún en Aceite Dia x 3 uds.,,$3.580,,14916.67KG,https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-en-aceite-dia-x-3-uds-47943/p,https://ardiaprod.vtexassets.com/arquivos/ids/296562-500-auto?v=638479070750970000&width=500&height=auto&aspect=true
