categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,conservas-de-vegetales,-30%,DIA,Arvejas secas remojadas DIA 300 Gr.,30%,"$480,00","$690,00",1600.00KG,https://diaonline.supermercadosdia.com.ar/arvejas-secas-remojadas-dia-300-gr-279121/p,https://ardiaprod.vtexassets.com/arquivos/ids/286186-500-auto?v=638363372702100000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,-26%,DIA,Choclo Cremoso Amarillo DIA 340 Gr.,26%,"$590,00","$795,00",1735.29KG,https://diaonline.supermercadosdia.com.ar/choclo-cremoso-amarillo-dia-340-gr-231423/p,https://ardiaprod.vtexassets.com/arquivos/ids/270114-500-auto?v=638322502002400000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Lentejas Secas Remojadas Dia 300 Gr,,"$715,00","$719,00",2383.33KG,https://diaonline.supermercadosdia.com.ar/lentejas-secas-remojadas-dia-300-gr-279126/p,https://ardiaprod.vtexassets.com/arquivos/ids/277994-500-auto?v=638322611155070000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Arvejas Secas Remojadas DIA 340 Gr.,,"$590,00",,1735.29KG,https://diaonline.supermercadosdia.com.ar/arvejas-secas-remojadas-dia-340-gr-214029/p,https://ardiaprod.vtexassets.com/arquivos/ids/269271-500-auto?v=638322490529430000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Garbanzos secos remojados DIA 300 Gr.,,"$875,00",,2916.67KG,https://diaonline.supermercadosdia.com.ar/garbanzos-secos-remojados-dia-300-gr-279123/p,https://ardiaprod.vtexassets.com/arquivos/ids/289246-500-auto?v=638410326050270000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,MONTENEVI,Choclo Amarillo Cremoso Montenevi 340 Gr.,,"$610,00",,1794.12KG,https://diaonline.supermercadosdia.com.ar/choclo-amarillo-cremoso-montenevi-340-gr-38844/p,https://ardiaprod.vtexassets.com/arquivos/ids/285508-500-auto?v=638357319627700000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,"Jardinera DIA Zanahoria, Papa y Arveja 300 Gr.",,"$930,00",,3100.00KG,https://diaonline.supermercadosdia.com.ar/jardinera-dia-zanahoria-papa-y-arveja-300-gr-279120/p,https://ardiaprod.vtexassets.com/arquivos/ids/289245-500-auto?v=638410326034270000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Lentejas Remojadas DIA 340 Gr.,,"$845,00",,2485.29KG,https://diaonline.supermercadosdia.com.ar/lentejas-remojadas-dia-340-gr-228836/p,https://ardiaprod.vtexassets.com/arquivos/ids/269997-500-auto?v=638322500267630000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Porotos Secos Remojados DIA 340 Gr.,,"$850,00",,2500.00KG,https://diaonline.supermercadosdia.com.ar/porotos-secos-remojados-dia-340-gr-248161/p,https://ardiaprod.vtexassets.com/arquivos/ids/271236-500-auto?v=638322517758500000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Granos de Choclo Amarillo DIA 300 Gr.,,$1.100,,3666.67KG,https://diaonline.supermercadosdia.com.ar/granos-de-choclo-amarillo-dia-300-gr-33512/p,https://ardiaprod.vtexassets.com/arquivos/ids/299005-500-auto?v=638503264884330000&width=500&height=auto&aspect=true
