categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,especias,-30%,KNORR,Zanahoria Deshidratada Knorr 100 Gr.,30%,"$1.050,00","$1.500,00",12000.00KG,https://diaonline.supermercadosdia.com.ar/zanahoria-deshidratada-knorr-100-gr-285780/p,https://ardiaprod.vtexassets.com/arquivos/ids/279550-500-auto?v=638322629936030000&width=500&height=auto&aspect=true
almacen,especias,-30%,KNORR,Vegetales Deshidratados Knorr Pimiento-Morrón 75 Gr.,30%,"$1.676,50","$2.395,00",25333.33KG,https://diaonline.supermercadosdia.com.ar/vegetales-deshidratados-knorr-pimiento-morron-75-gr-285778/p,https://ardiaprod.vtexassets.com/arquivos/ids/279547-500-auto?v=638322629894470000&width=500&height=auto&aspect=true
almacen,especias,-30%,KNORR,Cebolla Deshidratada Knorr 100 Gr.,30%,"$1.050,00","$1.500,00",12000.00KG,https://diaonline.supermercadosdia.com.ar/cebolla-deshidratada-knorr-100-gr-285779/p,https://ardiaprod.vtexassets.com/arquivos/ids/279548-500-auto?v=638322629909070000&width=500&height=auto&aspect=true
almacen,especias,,LA PARMESANA,Nuez Moscada La Parmesana 20 Gr.,,"$1.330,00",,66500.00KG,https://diaonline.supermercadosdia.com.ar/nuez-moscada-la-parmesana-20-gr-298837/p,https://ardiaprod.vtexassets.com/arquivos/ids/282039-500-auto?v=638322662298470000&width=500&height=auto&aspect=true
almacen,especias,,ALICANTE,Aji Triturado Alicante 25 Gr.,,"$560,00",,22400.00KG,https://diaonline.supermercadosdia.com.ar/aji-triturado-alicante-25-gr-157538/p,https://ardiaprod.vtexassets.com/arquivos/ids/295796-500-auto?v=638466467477930000&width=500&height=auto&aspect=true
almacen,especias,,ALICANTE,Condimento Chimichurri Alicante 25 Gr.,,"$780,00",,31200.00KG,https://diaonline.supermercadosdia.com.ar/condimento-chimichurri-alicante-25-gr-157537/p,https://ardiaprod.vtexassets.com/arquivos/ids/295795-500-auto?v=638466467461700000&width=500&height=auto&aspect=true
almacen,especias,,LA PARMESANA,Perejil La Parmesana 25 Gr.,,"$860,00",,34400.00KG,https://diaonline.supermercadosdia.com.ar/perejil-la-parmesana-25-gr-44886/p,https://ardiaprod.vtexassets.com/arquivos/ids/288103-500-auto?v=638390410890200000&width=500&height=auto&aspect=true
almacen,especias,,LA PARMESANA,Chimichurri En Polvo La Parmesana 25 Gr.,,"$630,00",,25200.00KG,https://diaonline.supermercadosdia.com.ar/chimichurri-en-polvo-la-parmesana-25-gr-300518/p,https://ardiaprod.vtexassets.com/arquivos/ids/288152-500-auto?v=638390411516600000&width=500&height=auto&aspect=true
almacen,especias,,LA PARMESANA,Pimienta Molida Negra La Parmesana 20 Gr.,,"$740,00",,37000.00KG,https://diaonline.supermercadosdia.com.ar/pimienta-molida-negra-la-parmesana-20-gr-298850/p,https://ardiaprod.vtexassets.com/arquivos/ids/282042-500-auto?v=638322662342000000&width=500&height=auto&aspect=true
almacen,especias,,LA PARMESANA,Pimienta Molida Blanca La Parmesana 20 Gr.,,"$870,00",,43500.00KG,https://diaonline.supermercadosdia.com.ar/pimienta-molida-blanca-la-parmesana-20-gr-298849/p,https://ardiaprod.vtexassets.com/arquivos/ids/282041-500-auto?v=638322662327700000&width=500&height=auto&aspect=true
almacen,especias,,SIN MARCA,Provenzal Alicante 25 Gr.,,"$820,00",,32800.00KG,https://diaonline.supermercadosdia.com.ar/provenzal-alicante-25-gr-5992/p,https://ardiaprod.vtexassets.com/arquivos/ids/262415-500-auto?v=638322366997170000&width=500&height=auto&aspect=true
