categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,fideos-largos,-25%,MATARAZZO,Fideos Tallarin N5 Matarazzo 500 Gr.,25%,$1.050,",00$1",2800.00KG,https://diaonline.supermercadosdia.com.ar/fideos-tallarin-n5-matarazzo-500-gr-42907/p,https://ardiaprod.vtexassets.com/arquivos/ids/285769-500-auto?v=638357496242530000&width=500&height=auto&aspect=true
almacen,fideos-largos,,DON BERNABEU,Fideos Spaghetti Don Bernabeu 500 Gr.,,"$680,00",,1360.00KG,https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-don-bernabeu-500-gr-301110/p,https://ardiaprod.vtexassets.com/arquivos/ids/300977-500-auto?v=638520950941300000&width=500&height=auto&aspect=true
almacen,fideos-largos,,DON BERNABEU,Fideos Tallarin Don Bernabeu 500 Gr.,,"$650,00",,1300.00KG,https://diaonline.supermercadosdia.com.ar/fideos-tallarin-don-bernabeu-500-gr-301109/p,https://ardiaprod.vtexassets.com/arquivos/ids/300976-500-auto?v=638520950926930000&width=500&height=auto&aspect=true
almacen,fideos-largos,-25%,MATARAZZO,Fideos Penne Rigate Libre De Gluten Matarazzo 500 Gr.,25%,$2.122,",50$2",5660.00KG,https://diaonline.supermercadosdia.com.ar/fideos-penne-rigate-libre-de-gluten-matarazzo-500-gr-255584/p,https://ardiaprod.vtexassets.com/arquivos/ids/271770-500-auto?v=638322528726600000&width=500&height=auto&aspect=true
almacen,fideos-largos,,DIA,Fideos Spaghetti Dia 500 Gr,,$1.200,,2400.00KG,https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-dia-500-gr-285831/p,https://ardiaprod.vtexassets.com/arquivos/ids/279563-500-auto?v=638322630113000000&width=500&height=auto&aspect=true
almacen,fideos-largos,,CUQUETS,Fideos Spaghetti Cuquets 500 Gr.,,$1.040,,2080.00KG,https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-cuquets-500-gr-120013/p,https://ardiaprod.vtexassets.com/arquivos/ids/265738-500-auto?v=638322441801470000&width=500&height=auto&aspect=true
almacen,fideos-largos,,LA PROVIDENCIA,Fideos Spaguetti La Providencia 500 Gr.,,"$900,00",,1800.00KG,https://diaonline.supermercadosdia.com.ar/fideos-spaguetti-la-providencia-500-gr-147293/p,https://ardiaprod.vtexassets.com/arquivos/ids/291065-500-auto?v=638437873656900000&width=500&height=auto&aspect=true
almacen,fideos-largos,,LA PROVIDENCIA,Fideos Tallarín La Providencia 500 Grs.,,"$900,00",,1800.00KG,https://diaonline.supermercadosdia.com.ar/fideos-tallarin-la-providencia-500-grs-294747/p,https://ardiaprod.vtexassets.com/arquivos/ids/281201-500-auto?v=638322650971130000&width=500&height=auto&aspect=true
almacen,fideos-largos,,LA MOROCHA,Fideos Spaghetti La Morocha 500 Grs.,,$1.230,,2460.00KG,https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-la-morocha-500-grs-300348/p,https://ardiaprod.vtexassets.com/arquivos/ids/296589-500-auto?v=638479936270930000&width=500&height=auto&aspect=true
almacen,fideos-largos,,PASTA SOLE,Fideos Spaghetti Pasta Sole 500 Gr.,,$1.020,,2040.00KG,https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-pasta-sole-500-gr-296632/p,https://ardiaprod.vtexassets.com/arquivos/ids/281766-500-auto?v=638322658709800000&width=500&height=auto&aspect=true
almacen,fideos-largos,,KNORR,Fideos Knorr Spaghetti 500 Gr.,,$2.285,,4570.00KG,https://diaonline.supermercadosdia.com.ar/fideos-knorr-spaghetti-500-gr-272892/p,https://ardiaprod.vtexassets.com/arquivos/ids/275535-500-auto?v=638322580842030000&width=500&height=auto&aspect=true
almacen,fideos-largos,,KNORR,Fideos Knorr Tallarines 500 Gr.,,$2.285,,4570.00KG,https://diaonline.supermercadosdia.com.ar/fideos-knorr-tallarines-500-gr-272891/p,https://ardiaprod.vtexassets.com/arquivos/ids/275532-500-auto?v=638322580809370000&width=500&height=auto&aspect=true
almacen,fideos-largos,,BONAVITA,Fideos Spaghetti Bonativa 500 Gr.,,$1.380,,2760.00KG,https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-bonativa-500-gr-4247/p,https://ardiaprod.vtexassets.com/arquivos/ids/297615-500-auto?v=638493930381870000&width=500&height=auto&aspect=true
almacen,fideos-largos,,MATARAZZO,Spaghetti Rina Matarazzo 500 Gr.,,$2.250,,4500.00KG,https://diaonline.supermercadosdia.com.ar/spaghetti-rina-matarazzo-500-gr-270885/p,https://ardiaprod.vtexassets.com/arquivos/ids/274762-500-auto?v=638322570763870000&width=500&height=auto&aspect=true
