categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,fideos-para-guiso,-25%,MATARAZZO,Fideos Tirabuzon N28 Matarazzo 500 Gr.,25%,"$1.050,00","$1.400,00",2800.00KG,https://diaonline.supermercadosdia.com.ar/fideos-tirabuzon-n28-matarazzo-500-gr-38574/p,https://ardiaprod.vtexassets.com/arquivos/ids/285764-500-auto?v=638357496167670000&width=500&height=auto&aspect=true
almacen,fideos-para-guiso,,DON BERNABEU,Fideos Rigatti Don Bernabeu 500 Gr.,,"$650,00",,1300.00KG,https://diaonline.supermercadosdia.com.ar/fideos-rigatti-don-bernabeu-500-gr-301111/p,https://ardiaprod.vtexassets.com/arquivos/ids/300978-500-auto?v=638520950956130000&width=500&height=auto&aspect=true
almacen,fideos-para-guiso,,DON BERNABEU,Fideos Codito Don Bernabeu 500 Gr.,,"$650,00",,1300.00KG,https://diaonline.supermercadosdia.com.ar/fideos-codito-don-bernabeu-500-gr-301112/p,https://ardiaprod.vtexassets.com/arquivos/ids/300979-500-auto?v=638520950970900000&width=500&height=auto&aspect=true
almacen,fideos-para-guiso,,WAKAS,Fusilli Multicereal Wakas Chía 250 Gr.,,"$2.420,00",,9680.00KG,https://diaonline.supermercadosdia.com.ar/fusilli-multicereal-wakas-chia-250-gr-288691/p,https://ardiaprod.vtexassets.com/arquivos/ids/279801-500-auto?v=638322633523100000&width=500&height=auto&aspect=true
almacen,fideos-para-guiso,,WAKAS,Fusilli Multicereal Wakas con Quinoa 250 Gr.,,"$2.420,00",,9680.00KG,https://diaonline.supermercadosdia.com.ar/fusilli-multicereal-wakas-con-quinoa-250-gr-269078/p,https://ardiaprod.vtexassets.com/arquivos/ids/274143-500-auto?v=638322562709970000&width=500&height=auto&aspect=true
almacen,fideos-para-guiso,,WAKAS,Fusilli Multicereal Wakas con Kale 250 Gr.,,"$2.420,00",,9680.00KG,https://diaonline.supermercadosdia.com.ar/fusilli-multicereal-wakas-con-kale-250-gr-269077/p,https://ardiaprod.vtexassets.com/arquivos/ids/274142-500-auto?v=638322562695630000&width=500&height=auto&aspect=true
almacen,fideos-para-guiso,,CUQUETS,Fideos Tirabuzón Cuquets 500 Gr.,,"$1.040,00",,2080.00KG,https://diaonline.supermercadosdia.com.ar/fideos-tirabuzon-cuquets-500-gr-142004/p,https://ardiaprod.vtexassets.com/arquivos/ids/266669-500-auto?v=638322454250470000&width=500&height=auto&aspect=true
almacen,fideos-para-guiso,,DIA,Fideos Tirabuzon Dia 500 Gr,,"$1.090,00",,2180.00KG,https://diaonline.supermercadosdia.com.ar/fideos-tirabuzon-dia-500-gr-286224/p,https://ardiaprod.vtexassets.com/arquivos/ids/279621-500-auto?v=638322630926970000&width=500&height=auto&aspect=true
almacen,fideos-para-guiso,,CUQUETS,Fideos Mostachol Cuquets 500 Gr.,,"$1.040,00",,2080.00KG,https://diaonline.supermercadosdia.com.ar/fideos-mostachol-cuquets-500-gr-120039/p,https://ardiaprod.vtexassets.com/arquivos/ids/265739-500-auto?v=638322441816470000&width=500&height=auto&aspect=true
almacen,fideos-para-guiso,,LUCCHETTI,Fideos Penne Rigate N45 Luchetti 500 Gr.,,"$1.201,51",,2403.02KG,https://diaonline.supermercadosdia.com.ar/fideos-penne-rigate-n45-luchetti-500-gr-40878/p,https://ardiaprod.vtexassets.com/arquivos/ids/285767-500-auto?v=638357496212570000&width=500&height=auto&aspect=true
