categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,gelatinas,,ROYAL,Polvo Para Preparar Gelatina Sabor Frutilla Royal 25 Gr,,"$855,00",,34.20GR,https://diaonline.supermercadosdia.com.ar/polvo-para-preparar-gelatina-sabor-frutilla-royal-25-gr-146577/p,https://ardiaprod.vtexassets.com/arquivos/ids/266832-500-auto?v=638322456564330000&width=500&height=auto&aspect=true
almacen,gelatinas,,EMETH,Gelatina Cereza Vitaminizada Emeth 70 GR.,,$1.470,,21000.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-cereza-vitaminizada-emeth-70-gr-300670/p,https://ardiaprod.vtexassets.com/arquivos/ids/295935-500-auto?v=638471295392970000&width=500&height=auto&aspect=true
almacen,gelatinas,,EXQUISITA,Gelatina Light Durazno Forti Exquisita 25 Gr.,,$1.050,,42000.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-light-durazno-forti-exquisita-25-gr-58252/p,https://ardiaprod.vtexassets.com/arquivos/ids/288585-500-auto?v=638396451388770000&width=500&height=auto&aspect=true
almacen,gelatinas,,EXQUISITA,Gelatina Frambuesa Exquisita 40 Gr.,,"$900,00",,22500.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-frambuesa-exquisita-40-gr-300345/p,https://ardiaprod.vtexassets.com/arquivos/ids/288144-500-auto?v=638390411411370000&width=500&height=auto&aspect=true
almacen,gelatinas,,EXQUISITA,Gelatina Light Frutilla Forti Exquisita 25 Gr.,,"$865,00",,34600.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-light-frutilla-forti-exquisita-25-gr-32542/p,https://ardiaprod.vtexassets.com/arquivos/ids/288584-500-auto?v=638396451373900000&width=500&height=auto&aspect=true
almacen,gelatinas,,EXQUISITA,Gelatina Light Cereza Forti Exquisita 25 Gr.,,"$865,00",,34600.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-light-cereza-forti-exquisita-25-gr-32544/p,https://ardiaprod.vtexassets.com/arquivos/ids/288662-500-auto?v=638398237145670000&width=500&height=auto&aspect=true
almacen,gelatinas,,ROYAL,Gelatina Regular Durazno Forti Exquisita 40 Gr.,,$1.050,,26250.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-regular-durazno-forti-exquisita-40-gr-58254/p,https://ardiaprod.vtexassets.com/arquivos/ids/289226-500-auto?v=638410325802170000&width=500&height=auto&aspect=true
almacen,gelatinas,,EXQUISITA,Gelatina Cereza Regular Forti Exquisita 40 Gr.,,"$865,00",,21625.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-cereza-regular-forti-exquisita-40-gr-32543/p,https://ardiaprod.vtexassets.com/arquivos/ids/288660-500-auto?v=638398237124270000&width=500&height=auto&aspect=true
almacen,gelatinas,,EXQUISITA,Gelatina Regular Naranja Forti Exquisita 40 Gr.,,$1.000,,25000.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-regular-naranja-forti-exquisita-40-gr-58253/p,https://ardiaprod.vtexassets.com/arquivos/ids/289223-500-auto?v=638410325767100000&width=500&height=auto&aspect=true
almacen,gelatinas,,YATASTO,Gelatina Frutilla Yatasto 105 Gr.,,"$550,00",,578947.37KG,https://diaonline.supermercadosdia.com.ar/gelatina-frutilla-yatasto-105-gr-297996/p,https://ardiaprod.vtexassets.com/arquivos/ids/281902-500-auto?v=638322660593930000&width=500&height=auto&aspect=true
almacen,gelatinas,,YATASTO,Gelatina Manzana Yatasto 105 Gr.,,"$550,00",,5789.47KG,https://diaonline.supermercadosdia.com.ar/gelatina-manzana-yatasto-105-gr-297995/p,https://ardiaprod.vtexassets.com/arquivos/ids/281900-500-auto?v=638322660569630000&width=500&height=auto&aspect=true
almacen,gelatinas,,ROYAL,Gelatina Light Royal Sabor Frutos Rojos 25 Gr.,,"$855,00",,34200.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-light-royal-sabor-frutos-rojos-25-gr-199616/p,https://ardiaprod.vtexassets.com/arquivos/ids/294113-500-auto?v=638458626113130000&width=500&height=auto&aspect=true
almacen,gelatinas,,ROYAL,Gelatina Light Bi Pouch Royal Sabor Cereza 25 Gr.,,"$750,00",,30000.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-light-bi-pouch-royal-sabor-cereza-25-gr-178684/p,https://ardiaprod.vtexassets.com/arquivos/ids/268276-500-auto?v=638322475734400000&width=500&height=auto&aspect=true
almacen,gelatinas,,ROYAL,Gelatina Light Royal Sabor Frutilla 25 Gr.,,"$830,00",,33200.00KG,https://diaonline.supermercadosdia.com.ar/gelatina-light-royal-sabor-frutilla-25-gr-167647/p,https://ardiaprod.vtexassets.com/arquivos/ids/267567-500-auto?v=638322466435800000&width=500&height=auto&aspect=true
