categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,grisines-y-tostadas,,BREVISS,Tostadas Clasicas Fitoesterol Breviss 200 Gr,,"$510,00",,2550.00KG,https://diaonline.supermercadosdia.com.ar/tostadas-clasicas-fitoesterol-breviss-200-gr-296258/p,https://ardiaprod.vtexassets.com/arquivos/ids/281724-500-auto?v=638322658109600000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,DIA,Tostadas Light DIA Gruesas 200 Gr.,,"$1.100,00",,5500.00KG,https://diaonline.supermercadosdia.com.ar/tostadas-light-dia-gruesas-200-gr-224555/p,https://ardiaprod.vtexassets.com/arquivos/ids/269752-500-auto?v=638322497079900000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,TOSTI,Talitas Tosti Clásicas 100 Gr.,,"$1.360,00",,13600.00KG,https://diaonline.supermercadosdia.com.ar/talitas-tosti-clasicas-100-gr-283303/p,https://ardiaprod.vtexassets.com/arquivos/ids/278687-500-auto?v=638322619802300000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,PANEX,Grisines De Salvado Panex 180 Gr.,,"$1.390,00",,7722.22KG,https://diaonline.supermercadosdia.com.ar/grisines-de-salvado-panex-180-gr-299356/p,https://ardiaprod.vtexassets.com/arquivos/ids/286389-500-auto?v=638367691312070000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,SIN MARCA,Grisines Con Cebolla 180 Gr.,,"$1.390,00",,7722.22KG,https://diaonline.supermercadosdia.com.ar/grisines-con-cebolla-180-gr-299323/p,https://ardiaprod.vtexassets.com/arquivos/ids/286382-500-auto?v=638367691230000000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,HOJALMAR,Talitas Hojalmar Queso 100 Gr.,,"$1.240,00",,12400.00KG,https://diaonline.supermercadosdia.com.ar/talitas-hojalmar-queso-100-gr-292328/p,https://ardiaprod.vtexassets.com/arquivos/ids/280335-500-auto?v=638322640744500000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,HOJALMAR,Talitas Hojalmar Clásicas 120 Gr.,,"$1.240,00",,12400.00KG,https://diaonline.supermercadosdia.com.ar/talitas-hojalmar-clasicas-120-gr-292326/p,https://ardiaprod.vtexassets.com/arquivos/ids/280325-500-auto?v=638322640637200000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,TOSTI,Talitas Tosti Semillas 100 Gr.,,"$1.050,00",,10500.00KG,https://diaonline.supermercadosdia.com.ar/talitas-tosti-semillas-100-gr-289709/p,https://ardiaprod.vtexassets.com/arquivos/ids/279978-500-auto?v=638322635828270000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,HOJALMAR,Talitas Hojalmar Jamón 100 Gr.,,"$1.240,00",,12400.00KG,https://diaonline.supermercadosdia.com.ar/talitas-hojalmar-jamon-100-gr-292327/p,https://ardiaprod.vtexassets.com/arquivos/ids/280330-500-auto?v=638322640689400000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,TOSTI,Talitas Tosti Queso 100 Gr.,,"$1.360,00",,13600.00KG,https://diaonline.supermercadosdia.com.ar/talitas-tosti-queso-100-gr-283302/p,https://ardiaprod.vtexassets.com/arquivos/ids/278686-500-auto?v=638322619788070000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,TOSTI,Talitas Tosti Pizza 100 Gr.,,"$1.360,00",,13600.00KG,https://diaonline.supermercadosdia.com.ar/talitas-tosti-pizza-100-gr-283750/p,https://ardiaprod.vtexassets.com/arquivos/ids/279115-500-auto?v=638322624289500000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,DIA,Tostadas de mesa DIA 200 Gr.,,"$1.100,00",,5500.00KG,https://diaonline.supermercadosdia.com.ar/tostadas-de-mesa-dia-200-gr-224556/p,https://ardiaprod.vtexassets.com/arquivos/ids/269753-500-auto?v=638322497098800000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,CEREALITAS,Tostadas de Arroz Cerealitas 160 Gr.,,"$1.550,00",,9687.50KG,https://diaonline.supermercadosdia.com.ar/tostadas-de-arroz-cerealitas-160-gr-105628/p,https://ardiaprod.vtexassets.com/arquivos/ids/265243-500-auto?v=638322435241970000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,TIA MARUCA,Tostadas de Arroz Tia Maruca 120 Gr.,,"$940,00",,7833.33KG,https://diaonline.supermercadosdia.com.ar/tostadas-de-arroz-tia-maruca-120-gr-185926/p,https://ardiaprod.vtexassets.com/arquivos/ids/268748-500-auto?v=638322482125730000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,TIA MARUCA,Tostadas de Arroz Tia Maruca sin sal 120 Gr.,,"$980,00",,8166.67KG,https://diaonline.supermercadosdia.com.ar/tostadas-de-arroz-tia-maruca-sin-sal-120-gr-199409/p,https://ardiaprod.vtexassets.com/arquivos/ids/268881-500-auto?v=638322483863830000&width=500&height=auto&aspect=true
almacen,grisines-y-tostadas,,DIA,Tostaditas Light DIA 140 Gr.,,"$1.620,00",,11571.43KG,https://diaonline.supermercadosdia.com.ar/tostaditas-light-dia-140-gr-15772/p,https://ardiaprod.vtexassets.com/arquivos/ids/262766-500-auto?v=638322399333930000&width=500&height=auto&aspect=true
