categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,harinas-de-trigo,-15%,FAVORITA,Harina 000 con Vitaminas Favorita 1 Kg.,15%,"$650,00","$765,00",650.00KG,https://diaonline.supermercadosdia.com.ar/harina-000-con-vitaminas-favorita-1-kg-300780/p,https://ardiaprod.vtexassets.com/arquivos/ids/299456-500-auto?v=638507689050100000&width=500&height=auto&aspect=true
almacen,harinas-de-trigo,-15%,MORIXE,Harina De Trigo Fotivac Morixe 000 1 Kg.,15%,"$670,00","$790,00",670.00KG,https://diaonline.supermercadosdia.com.ar/harina-de-trigo-fotivac-morixe-000-1-kg-283565/p,https://ardiaprod.vtexassets.com/arquivos/ids/291081-500-auto?v=638437873870900000&width=500&height=auto&aspect=true
almacen,harinas-de-trigo,,EL AMERICANO,Harina 000 El Americano 1 Kg.,,"$570,00",,570.00KG,https://diaonline.supermercadosdia.com.ar/harina-000-el-americano-1-kg-24848/p,https://ardiaprod.vtexassets.com/arquivos/ids/289178-500-auto?v=638406848401200000&width=500&height=auto&aspect=true
almacen,harinas-de-trigo,-40%,FAVORITA,Harina 0000 con Vitaminas Favorita 1 Kg.,40%,"$590,00","$990,00",590.00KG,https://diaonline.supermercadosdia.com.ar/harina-0000-con-vitaminas-favorita-1-kg-300779/p,https://ardiaprod.vtexassets.com/arquivos/ids/299455-500-auto?v=638507689035300000&width=500&height=auto&aspect=true
almacen,harinas-de-trigo,,DIA,Harina de Trigo 000 DIA 1 Kg.,,"$650,00",,650.00KG,https://diaonline.supermercadosdia.com.ar/harina-de-trigo-000-dia-1-kg-24272/p,https://ardiaprod.vtexassets.com/arquivos/ids/263157-500-auto?v=638322404548770000&width=500&height=auto&aspect=true
almacen,harinas-de-trigo,,DIA,Harina de Trigo 0000 DIA 1 Kg.,,"$870,00",,870.00KG,https://diaonline.supermercadosdia.com.ar/harina-de-trigo-0000-dia-1-kg-24273/p,https://ardiaprod.vtexassets.com/arquivos/ids/300875-500-auto?v=638520949688730000&width=500&height=auto&aspect=true
almacen,harinas-de-trigo,,DIA,Harina Leudante DIA 1 Kg.,,"$1.040,00",,1040.00KG,https://diaonline.supermercadosdia.com.ar/harina-leudante-dia-1-kg-24274/p,https://ardiaprod.vtexassets.com/arquivos/ids/298999-500-auto?v=638503264794900000&width=500&height=auto&aspect=true
almacen,harinas-de-trigo,,PUREZA,Harina Leudante Pureza 1 Kg.,,"$1.150,00",,1150.00KG,https://diaonline.supermercadosdia.com.ar/harina-leudante-pureza-1-kg-57371/p,https://ardiaprod.vtexassets.com/arquivos/ids/264190-500-auto?v=638322420194030000&width=500&height=auto&aspect=true
almacen,harinas-de-trigo,,MORIXE,Harina 0000 Morixe 1 Kg.,,"$800,00",,800.00KG,https://diaonline.supermercadosdia.com.ar/harina-0000-morixe-1-kg-258543/p,https://ardiaprod.vtexassets.com/arquivos/ids/272082-500-auto?v=638322533310400000&width=500&height=auto&aspect=true
almacen,harinas-de-trigo,,CAÑUELAS,Harina 000 Cañuelas Ultra Refinada 1 Kg.,,"$740,00",,740.00KG,https://diaonline.supermercadosdia.com.ar/harina-000-canuelas-ultra-refinada-1-kg-273445/p,https://ardiaprod.vtexassets.com/arquivos/ids/299108-500-auto?v=638503266355000000&width=500&height=auto&aspect=true
