categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,legumbres-y-semillas,,MONTENEVI,Garbanzos Montenevi 340 Gr.,,"$390,00",,1147.06KG,https://diaonline.supermercadosdia.com.ar/garbanzos-montenevi-340-gr-296000/p,https://ardiaprod.vtexassets.com/arquivos/ids/285525-500-auto?v=638357319954270000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,DIA,Lentejas Dia 400 Gr.,,"$1.900,00",,4750.00KG,https://diaonline.supermercadosdia.com.ar/lentejas-dia-400-gr-292388/p,https://ardiaprod.vtexassets.com/arquivos/ids/297892-500-auto?v=638496356722430000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,MONTENEVI,Lentejas Montenevi 340 Gr.,,"$900,00",,2647.06KG,https://diaonline.supermercadosdia.com.ar/lentejas-montenevi-340-gr-295967/p,https://ardiaprod.vtexassets.com/arquivos/ids/285524-500-auto?v=638357319936830000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,DIA,Maíz Pisingallo Dia 500 Gr.,,"$1.900,00",,4750.00KG,https://diaonline.supermercadosdia.com.ar/maiz-pisingallo-dia-500-gr-55945/p,https://ardiaprod.vtexassets.com/arquivos/ids/297865-500-auto?v=638496356403670000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,DIA,Garbanzos Dia 350 Gr.,,"$2.600,00",,6500.00KG,https://diaonline.supermercadosdia.com.ar/garbanzos-dia-350-gr-101315/p,https://ardiaprod.vtexassets.com/arquivos/ids/297867-500-auto?v=638496356430800000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,DIA,Arvejas Partidas Dia 500 Gr.,,"$1.900,00",,4750.00KG,https://diaonline.supermercadosdia.com.ar/arvejas-partidas-dia-500-gr-55938/p,https://ardiaprod.vtexassets.com/arquivos/ids/301470-500-auto?v=638531901917230000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,DIA,Maíz Pelado Blanco Dia 400 Gr.,,"$1.800,00",,4500.00KG,https://diaonline.supermercadosdia.com.ar/maiz-pelado-blanco-dia-400-gr-292389/p,https://ardiaprod.vtexassets.com/arquivos/ids/297894-500-auto?v=638496356744600000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,DIA,Porotos Alubia Dia 400 Gr.,,"$3.000,00",,6000.00KG,https://diaonline.supermercadosdia.com.ar/porotos-alubia-dia-400-gr-292390/p,https://ardiaprod.vtexassets.com/arquivos/ids/297896-500-auto?v=638496356770630000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,DIA,Jardinera De Legumbres Dia 400 Gr.,,"$1.800,00",,4500.00KG,https://diaonline.supermercadosdia.com.ar/jardinera-de-legumbres-dia-400-gr-292395/p,https://ardiaprod.vtexassets.com/arquivos/ids/297898-500-auto?v=638496356793370000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,GENSER,Mix De Semillas Genser Multisemillas 150 Gr.,,"$1.925,00",,,https://diaonline.supermercadosdia.com.ar/mix-de-semillas-genser-multisemillas-150-gr-282731/p,https://ardiaprod.vtexassets.com/arquivos/ids/278423-500-auto?v=638322616520770000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,GENSER,Mix De Semillas Genser Desayuno 150 Gr.,,"$1.925,00",,,https://diaonline.supermercadosdia.com.ar/mix-de-semillas-genser-desayuno-150-gr-282729/p,https://ardiaprod.vtexassets.com/arquivos/ids/278421-500-auto?v=638322616492070000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,GENSER,Mix De Semillas Genser Ensaladas Y Sopas 150 Gr.,,"$1.925,00",,,https://diaonline.supermercadosdia.com.ar/mix-de-semillas-genser-ensaladas-y-sopas-150-gr-282730/p,https://ardiaprod.vtexassets.com/arquivos/ids/278422-500-auto?v=638322616507070000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,CONOSUR,Semillas de Chía Enteras 100 Gr.,,"$1.399,00",,13990.00KG,https://diaonline.supermercadosdia.com.ar/semillas-de-chia-enteras-100-gr-213418/p,https://ardiaprod.vtexassets.com/arquivos/ids/269244-500-auto?v=638322490122330000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,PIPAS,Semillas De Girasol Pipas Saladas Y Tostadas 18 Gr.,,"$315,00",,17500.00KG,https://diaonline.supermercadosdia.com.ar/semillas-de-girasol-pipas-saladas-y-tostadas-18-gr-209529/p,https://ardiaprod.vtexassets.com/arquivos/ids/269127-500-auto?v=638322488546170000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,LA SANJUANITA,Mix de Semillas La Sanjuanita 100 Gr.,,"$1.090,00",,9990.00KG,https://diaonline.supermercadosdia.com.ar/mix-de-semillas-la-sanjuanita-100-gr-213420/p,https://ardiaprod.vtexassets.com/arquivos/ids/269245-500-auto?v=638322490140530000&width=500&height=auto&aspect=true
almacen,legumbres-y-semillas,,LA SANJUANITA,Semillas de Girasol peladas La Sanjuanita 100 Gr.,,"$1.090,00",,10900.00KG,https://diaonline.supermercadosdia.com.ar/semillas-de-girasol-peladas-la-sanjuanita-100-gr-213470/p,https://ardiaprod.vtexassets.com/arquivos/ids/301478-500-auto?v=638531902063070000&width=500&height=auto&aspect=true
