categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,mayonesa,-30%,HELLMANNS,Mayonesa De Ajo Hellmans 250 Gr,30%,"$1.148,00","$1.640,00",6560.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-de-ajo-hellmans-250-gr-291831/p,https://ardiaprod.vtexassets.com/arquivos/ids/280246-500-auto?v=638322639641770000&width=500&height=auto&aspect=true
almacen,mayonesa,-21%,HELLMANNS,Mayonesa Liviana Doy Pack Hellmann´s 475 Gr.,21%,"$1.100,00","$1.390,00",2315.79KG,https://diaonline.supermercadosdia.com.ar/mayonesa-liviana-doy-pack-hellmann-s-475-gr-59852/p,https://ardiaprod.vtexassets.com/arquivos/ids/264246-500-auto?v=638322420960000000&width=500&height=auto&aspect=true
almacen,mayonesa,-30%,HELLMANNS,Mayonesa Sabor Ahumado Hellmans 250 Gr,30%,"$1.148,00","$1.640,00",6560.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-sabor-ahumado-hellmans-250-gr-291832/p,https://ardiaprod.vtexassets.com/arquivos/ids/280256-500-auto?v=638322639753770000&width=500&height=auto&aspect=true
almacen,mayonesa,-35%,HELLMANNS,Mayonesa Vegana Hellmanns 500 Gr.,35%,"$1.020,50","$1.570,00",3140.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-vegana-hellmanns-500-gr-262138/p,https://ardiaprod.vtexassets.com/arquivos/ids/301491-500-auto?v=638531902218870000&width=500&height=auto&aspect=true
almacen,mayonesa,-33%,HELLMANNS,Mayonesa Vegana Hellmanns 250 Gr.,33%,"$637,50","$945,00",3000.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-vegana-hellmanns-250-gr-258235/p,https://ardiaprod.vtexassets.com/arquivos/ids/301480-500-auto?v=638531902096400000&width=500&height=auto&aspect=true
almacen,mayonesa,,NATURA,Mayonesa Natura 500 Ml.,,"$1.470,00",,2940.00LT,https://diaonline.supermercadosdia.com.ar/mayonesa-natura-500-ml-5527/p,https://ardiaprod.vtexassets.com/arquivos/ids/262378-500-auto?v=638322364026700000&width=500&height=auto&aspect=true
almacen,mayonesa,,HELLMANNS,Mayonesa Clásica Hellmann's Sin Tacc Doypack 475 Gr.,,"$1.390,00",,2926.32KG,https://diaonline.supermercadosdia.com.ar/mayonesa-clasica-hellmann-s-sin-tacc-doypack-475-gr-283568/p,https://ardiaprod.vtexassets.com/arquivos/ids/278978-500-auto?v=638322622862370000&width=500&height=auto&aspect=true
almacen,mayonesa,,CAÑUELAS,Mayonesa Cañuelas 500 Gr.,,"$1.845,00",,3690.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-canuelas-500-gr-299922/p,https://ardiaprod.vtexassets.com/arquivos/ids/285890-500-auto?v=638359048234930000&width=500&height=auto&aspect=true
almacen,mayonesa,,CAÑUELAS,Mayonesa Cañuelas 250 Gr.,,"$790,00",,3160.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-canuelas-250-gr-299921/p,https://ardiaprod.vtexassets.com/arquivos/ids/287178-500-auto?v=638376332683870000&width=500&height=auto&aspect=true
almacen,mayonesa,,NATURA,Mayonesa Natura 1 L.,,"$2.600,00",,2600.00LT,https://diaonline.supermercadosdia.com.ar/mayonesa-natura-1-l-122181/p,https://ardiaprod.vtexassets.com/arquivos/ids/265830-500-auto?v=638322442936300000&width=500&height=auto&aspect=true
almacen,mayonesa,,NATURA,Mayonesa Natura 250 Ml,,"$705,00",,2820.00LT,https://diaonline.supermercadosdia.com.ar/mayonesa-natura-250-ml-5539/p,https://ardiaprod.vtexassets.com/arquivos/ids/262380-500-auto?v=638322364138370000&width=500&height=auto&aspect=true
almacen,mayonesa,,HELLMANNS,Mayonesa Clásica Hellmann's Sin Tacc Doypack 950 Gr.,,"$2.430,00",,2557.89KG,https://diaonline.supermercadosdia.com.ar/mayonesa-clasica-hellmann-s-sin-tacc-doypack-950-gr-283566/p,https://ardiaprod.vtexassets.com/arquivos/ids/278964-500-auto?v=638322622720570000&width=500&height=auto&aspect=true
almacen,mayonesa,,HELLMANNS,Mayonesa Liviana Hellmann´s Doy Pack 237 Gr.,,"$830,00",,3502.11LT,https://diaonline.supermercadosdia.com.ar/mayonesa-liviana-hellmann-s-doy-pack-237-gr-46854/p,https://ardiaprod.vtexassets.com/arquivos/ids/263850-500-auto?v=638322414031400000&width=500&height=auto&aspect=true
almacen,mayonesa,,HELLMANNS,Mayonesa Clásica Hellmann's Sin Tacc Doypack 237 Gr.,,"$830,00",,3502.11KG,https://diaonline.supermercadosdia.com.ar/mayonesa-clasica-hellmann-s-sin-tacc-doypack-237-gr-283567/p,https://ardiaprod.vtexassets.com/arquivos/ids/278971-500-auto?v=638322622788300000&width=500&height=auto&aspect=true
almacen,mayonesa,,MENOYO,Mayonesa Light Menoyo sin tacc 470 Gr.,,"$1.410,00",,2820.00LT,https://diaonline.supermercadosdia.com.ar/mayonesa-light-menoyo-sin-tacc-470-gr-274912/p,https://ardiaprod.vtexassets.com/arquivos/ids/276657-500-auto?v=638322594611030000&width=500&height=auto&aspect=true
almacen,mayonesa,,DIA,Mayonesa DIA 500 Ml.,,"$1.100,00",,2200.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-dia-500-ml-20490/p,https://ardiaprod.vtexassets.com/arquivos/ids/262863-500-auto?v=638322400661030000&width=500&height=auto&aspect=true
almacen,mayonesa,,HEINZ,Mayonesa Light Heinz 350 Gr.,,"$2.200,00",,6285.71KG,https://diaonline.supermercadosdia.com.ar/mayonesa-light-heinz-350-gr-266686/p,https://ardiaprod.vtexassets.com/arquivos/ids/297705-500-auto?v=638494762871800000&width=500&height=auto&aspect=true
almacen,mayonesa,,MENOYO,Mayonesa Menoyo Original Sin Tacc 500 Gr.,,"$1.290,00",,2580.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-menoyo-original-sin-tacc-500-gr-274915/p,https://ardiaprod.vtexassets.com/arquivos/ids/276660-500-auto?v=638322594661170000&width=500&height=auto&aspect=true
almacen,mayonesa,,MENOYO,Mayonesa Light Menoyo sin tacc 235 Gr.,,"$750,00",,3000.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-light-menoyo-sin-tacc-235-gr-274913/p,https://ardiaprod.vtexassets.com/arquivos/ids/276658-500-auto?v=638322594626800000&width=500&height=auto&aspect=true
almacen,mayonesa,,DIA,Mayonesa DIA 900 Ml.,,"$1.900,00",,2245.86KG,https://diaonline.supermercadosdia.com.ar/mayonesa-dia-900-ml-20491/p,https://ardiaprod.vtexassets.com/arquivos/ids/262865-500-auto?v=638322400686770000&width=500&height=auto&aspect=true
almacen,mayonesa,,MENOYO,Mayonesa Menoyo Original Sin Tacc 900 Ml.,,"$2.300,00",,2555.56LT,https://diaonline.supermercadosdia.com.ar/mayonesa-menoyo-original-sin-tacc-900-ml-275888/p,https://ardiaprod.vtexassets.com/arquivos/ids/277130-500-auto?v=638322600346100000&width=500&height=auto&aspect=true
almacen,mayonesa,,MENOYO,Mayonesa Menoyo Original Sin Tacc 250 Gr.,,"$720,00",,2880.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-menoyo-original-sin-tacc-250-gr-274916/p,https://ardiaprod.vtexassets.com/arquivos/ids/276661-500-auto?v=638322594676130000&width=500&height=auto&aspect=true
almacen,mayonesa,,MENOYO,Mayonesa Menoyo Original Sin Tacc 100 Gr.,,"$380,00",,3800.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-menoyo-original-sin-tacc-100-gr-274914/p,https://ardiaprod.vtexassets.com/arquivos/ids/276659-500-auto?v=638322594641100000&width=500&height=auto&aspect=true
almacen,mayonesa,,HELLMANNS,Mayonesa Liviana Doypack Hellmanns 950 Gr.,,"$2.430,00",,2557.89LT,https://diaonline.supermercadosdia.com.ar/mayonesa-liviana-doypack-hellmanns-950-gr-131674/p,https://ardiaprod.vtexassets.com/arquivos/ids/292064-500-auto?v=638450059906730000&width=500&height=auto&aspect=true
almacen,mayonesa,,HEINZ,Mayonesa Heinz 350 Gr.,,"$1.750,00",,5000.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-heinz-350-gr-251521/p,https://ardiaprod.vtexassets.com/arquivos/ids/271576-500-auto?v=638322525865900000&width=500&height=auto&aspect=true
almacen,mayonesa,,HELLMANNS,Mayonesa Liviana Hellmans 320 Gr.,,"$1.625,00",,5078.13KG,https://diaonline.supermercadosdia.com.ar/mayonesa-liviana-hellmans-320-gr-180843/p,https://ardiaprod.vtexassets.com/arquivos/ids/282518-500-auto?v=638327961733070000&width=500&height=auto&aspect=true
almacen,mayonesa,,DIA,Mayonesa DIA 220 Ml.,,"$590,00",,2510.64KG,https://diaonline.supermercadosdia.com.ar/mayonesa-dia-220-ml-20489/p,https://ardiaprod.vtexassets.com/arquivos/ids/297067-500-auto?v=638485118647730000&width=500&height=auto&aspect=true
almacen,mayonesa,,HELLMANNS,Hellmanns Mayonesa Tipo Casera 232 Gr.,,"$1.235,00",,5323.28KG,https://diaonline.supermercadosdia.com.ar/hellmanns-mayonesa-tipo-casera-232-gr-255801/p,https://ardiaprod.vtexassets.com/arquivos/ids/271791-500-auto?v=638322529044570000&width=500&height=auto&aspect=true
almacen,mayonesa,,HEINZ,Mayonesa Heinz 200 Gr.,,"$1.055,00",,5275.00KG,https://diaonline.supermercadosdia.com.ar/mayonesa-heinz-200-gr-248314/p,https://ardiaprod.vtexassets.com/arquivos/ids/271255-500-auto?v=638322518027270000&width=500&height=auto&aspect=true
