categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,mostaza,-30%,SAVORA,Mostaza Savora 500 Gr.,30%,"$927,50","$1.325,00",2800.00KG,https://diaonline.supermercadosdia.com.ar/mostaza-savora-500-gr-278069/p,https://ardiaprod.vtexassets.com/arquivos/ids/277623-500-auto?v=638322606625130000&width=500&height=auto&aspect=true
almacen,mostaza,-30%,SAVORA,Mostaza Savora Original Squeeze 200 Gr.,30%,"$766,50","$1.095,00",5475.00KG,https://diaonline.supermercadosdia.com.ar/mostaza-savora-original-squeeze-200-gr-15014/p,https://ardiaprod.vtexassets.com/arquivos/ids/262713-500-auto?v=638322398711000000&width=500&height=auto&aspect=true
almacen,mostaza,-10%,SAVORA,Mostaza Savora Original DoyPack 250 Gr.,10%,"$720,00","$800,00",2600.00KG,https://diaonline.supermercadosdia.com.ar/mostaza-savora-original-doypack-250-gr-25631/p,https://ardiaprod.vtexassets.com/arquivos/ids/299000-500-auto?v=638503264809500000&width=500&height=auto&aspect=true
almacen,mostaza,,NATURA,Mostaza Natura 250 Gr.,,"$600,00",,2400.00KG,https://diaonline.supermercadosdia.com.ar/mostaza-natura-250-gr-161512/p,https://ardiaprod.vtexassets.com/arquivos/ids/267175-500-auto?v=638322461197600000&width=500&height=auto&aspect=true
almacen,mostaza,,HEINZ,Mostaza Heinz 368 Gr.,,"$4.520,00",,12282.61KG,https://diaonline.supermercadosdia.com.ar/mostaza-heinz-368-gr-257110/p,https://ardiaprod.vtexassets.com/arquivos/ids/289822-500-auto?v=638421582195370000&width=500&height=auto&aspect=true
almacen,mostaza,,MENOYO,Mostaza Menoyo Sin Tacc 250 Gr.,,"$780,00",,3120.00KG,https://diaonline.supermercadosdia.com.ar/mostaza-menoyo-sin-tacc-250-gr-274918/p,https://ardiaprod.vtexassets.com/arquivos/ids/276663-500-auto?v=638322594705700000&width=500&height=auto&aspect=true
almacen,mostaza,,MENOYO,Mostaza Menoyo sin tacc 60 Gr.,,"$220,00",,3666.67KG,https://diaonline.supermercadosdia.com.ar/mostaza-menoyo-sin-tacc-60-gr-274917/p,https://ardiaprod.vtexassets.com/arquivos/ids/276662-500-auto?v=638322594690630000&width=500&height=auto&aspect=true
almacen,mostaza,,KANSAS,Salsa Kansas Honey Mustard 455 Gr.,,"$2.150,00",,5243.90KG,https://diaonline.supermercadosdia.com.ar/salsa-kansas-honey-mustard-455-gr-267543/p,https://ardiaprod.vtexassets.com/arquivos/ids/273851-500-auto?v=638322557797400000&width=500&height=auto&aspect=true
almacen,mostaza,,SUEÑO VERDE,Mostaza Sueño Verde con Miel 200 Ml.,,"$3.290,00",,16450.00LT,https://diaonline.supermercadosdia.com.ar/mostaza-sueno-verde-con-miel-200-ml-271144/p,https://ardiaprod.vtexassets.com/arquivos/ids/274822-500-auto?v=638322571605470000&width=500&height=auto&aspect=true
almacen,mostaza,,DIA,Aderezo a base de Mostaza DIA 220 Gr.,,"$700,00",,3181.82KG,https://diaonline.supermercadosdia.com.ar/aderezo-a-base-de-mostaza-dia-220-gr-125442/p,https://ardiaprod.vtexassets.com/arquivos/ids/265928-500-auto?v=638322444236170000&width=500&height=auto&aspect=true
