categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,otras-especialidades,-25%,BIMBO,Tortillas Integrales Rapiditas 10 Ud.,25%,"$1.950,00","$2.610,00",7358.49KG,https://diaonline.supermercadosdia.com.ar/tortillas-integrales-rapiditas-10-ud-282890/p,https://ardiaprod.vtexassets.com/arquivos/ids/291661-500-auto?v=638447385181900000&width=500&height=auto&aspect=true
almacen,otras-especialidades,-25%,BIMBO,Tortillas Light Rapiditas 10 Ud.,25%,"$1.950,00","$2.610,00",7090.91KG,https://diaonline.supermercadosdia.com.ar/tortillas-light-rapiditas-10-ud-261335/p,https://ardiaprod.vtexassets.com/arquivos/ids/291653-500-auto?v=638447385056000000&width=500&height=auto&aspect=true
almacen,otras-especialidades,-25%,BIMBO,Tortillas Clásicas Rapiditas 10 Ud.,25%,"$1.950,00","$2.610,00",7090.91KG,https://diaonline.supermercadosdia.com.ar/tortillas-clasicas-rapiditas-10-ud-202954/p,https://ardiaprod.vtexassets.com/arquivos/ids/291623-500-auto?v=638447384648670000&width=500&height=auto&aspect=true
almacen,otras-especialidades,-21%,DIA,Prepizza Dia Doble 500 Gr.,21%,"$1.490,00","$1.890,00",2980.00KG,https://diaonline.supermercadosdia.com.ar/prepizza-dia-doble-500-gr-8498/p,https://ardiaprod.vtexassets.com/arquivos/ids/284466-500-auto?v=638342760419800000&width=500&height=auto&aspect=true
almacen,otras-especialidades,,AYRES DE LUJAN,Pasta Frola Frutos Rojos Aires de Lujan 50 Gr.,2 x $400,"$250,00",,5000.00KG,https://diaonline.supermercadosdia.com.ar/pasta-frola-frutos-rojos-aires-de-lujan-50-gr-301472/p,https://ardiaprod.vtexassets.com/arquivos/ids/290940-500-auto?v=638430971006200000&width=500&height=auto&aspect=true
almacen,otras-especialidades,,DIA,Rosca Clásica Dia 400 Grs.,,"$1.200,00",,3000.00KG,https://diaonline.supermercadosdia.com.ar/rosca-clasica-dia-400-grs-292719/p,https://ardiaprod.vtexassets.com/arquivos/ids/297296-500-auto?v=638489441692870000&width=500&height=auto&aspect=true
almacen,otras-especialidades,,RAPIDELI,Tortilla de Trigo Integral Rapideli 180 Gr.,,"$1.860,00",,7440.00KG,https://diaonline.supermercadosdia.com.ar/tortilla-de-trigo-integral-rapideli-180-gr-295838/p,https://ardiaprod.vtexassets.com/arquivos/ids/285523-500-auto?v=638357319919870000&width=500&height=auto&aspect=true
almacen,otras-especialidades,,SIN MARCA,Pionono Tradicional 150 Gr.,,"$1.190,00",,7933.33KG,https://diaonline.supermercadosdia.com.ar/pionono-tradicional-150-gr-298932/p,https://ardiaprod.vtexassets.com/arquivos/ids/285343-500-auto?v=638352258092170000&width=500&height=auto&aspect=true
almacen,otras-especialidades,,RAPIDELI,Tortilla de Trigo Espinaca Rapideli 170 Gr.,,"$1.860,00",,7440.00KG,https://diaonline.supermercadosdia.com.ar/tortilla-de-trigo-espinaca-rapideli-170-gr-295833/p,https://ardiaprod.vtexassets.com/arquivos/ids/285521-500-auto?v=638357319828400000&width=500&height=auto&aspect=true
almacen,otras-especialidades,,LA AMISTAD,Cubanitos Cortos La Amistad 150 Gr.,,"$1.890,00",,12600.00KG,https://diaonline.supermercadosdia.com.ar/cubanitos-cortos-la-amistad-150-gr-301005/p,https://ardiaprod.vtexassets.com/arquivos/ids/290100-500-auto?v=638425780914470000&width=500&height=auto&aspect=true
