categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,otros-aderezos,,SAWS,Salsa Barbacoa Saws 270 Ml.,,"$950,00",,3518.52LT,https://diaonline.supermercadosdia.com.ar/salsa-barbacoa-saws-270-ml-55142/p,https://ardiaprod.vtexassets.com/arquivos/ids/290119-500-auto?v=638428254101430000&width=500&height=auto&aspect=true
almacen,otros-aderezos,,KYROS,Hummus con Aceite de Oliva sin TACC Kyros 230gr.,,"$2.850,00",,12391.30KG,https://diaonline.supermercadosdia.com.ar/hummus-con-aceite-de-oliva-sin-tacc-kyros-230gr-294210/p,https://ardiaprod.vtexassets.com/arquivos/ids/281130-500-auto?v=638322649994230000&width=500&height=auto&aspect=true
almacen,otros-aderezos,,KYROS,Hummus Ajo Ahumado Kyros 230 Gr.,,"$2.850,00",,12391.30KG,https://diaonline.supermercadosdia.com.ar/hummus-ajo-ahumado-kyros-230-gr-300134/p,https://ardiaprod.vtexassets.com/arquivos/ids/286335-500-auto?v=638365097972230000&width=500&height=auto&aspect=true
almacen,otros-aderezos,,KYROS,Hummus Clásico Sin TACC Kyros 230gr,,"$2.850,00",,12391.30KG,https://diaonline.supermercadosdia.com.ar/hummus-clasico-sin-tacc-kyros-230gr-294211/p,https://ardiaprod.vtexassets.com/arquivos/ids/281131-500-auto?v=638322650011000000&width=500&height=auto&aspect=true
almacen,otros-aderezos,,KANSAS,Salsa Alioli Kansas 400 Gr.,,"$3.780,00",,9450.00KG,https://diaonline.supermercadosdia.com.ar/salsa-alioli-kansas-400-gr-300691/p,https://ardiaprod.vtexassets.com/arquivos/ids/289271-500-auto?v=638410326366300000&width=500&height=auto&aspect=true
almacen,otros-aderezos,,KANSAS,Salsa Cheddar Kansas 400 Gr.,,"$3.780,00",,9450.00KG,https://diaonline.supermercadosdia.com.ar/salsa-cheddar-kansas-400-gr-300692/p,https://ardiaprod.vtexassets.com/arquivos/ids/289273-500-auto?v=638410326390670000&width=500&height=auto&aspect=true
almacen,otros-aderezos,,DOS ANCLAS,Salsa Alioli Dos Anclas 340 Gr.,,"$3.450,00",,10147.06KG,https://diaonline.supermercadosdia.com.ar/salsa-alioli-dos-anclas-340-gr-296667/p,https://ardiaprod.vtexassets.com/arquivos/ids/281774-500-auto?v=638322658816270000&width=500&height=auto&aspect=true
almacen,otros-aderezos,,NATURAL POP,Hummus Instantaneo Natural Pop 105 Gr.,,"$1.245,00",,11857.14KG,https://diaonline.supermercadosdia.com.ar/hummus-instantaneo-natural-pop-105-gr-297765/p,https://ardiaprod.vtexassets.com/arquivos/ids/281879-500-auto?v=638322660260700000&width=500&height=auto&aspect=true
almacen,otros-aderezos,,KYROS,Hummus con Pimentón Picante Sin TACC Kyros 230gr.,,"$2.850,00",,12391.30KG,https://diaonline.supermercadosdia.com.ar/hummus-con-pimenton-picante-sin-tacc-kyros-230gr-294209/p,https://ardiaprod.vtexassets.com/arquivos/ids/281129-500-auto?v=638322649974430000&width=500&height=auto&aspect=true
almacen,otros-aderezos,,DOS ANCLAS,Salsa Cheddar Dos Anclas 350 Gr.,,"$3.090,00",,8828.57KG,https://diaonline.supermercadosdia.com.ar/salsa-cheddar-dos-anclas-350-gr-260532/p,https://ardiaprod.vtexassets.com/arquivos/ids/272515-500-auto?v=638322539491400000&width=500&height=auto&aspect=true
