categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,pan-de-hamburguesa-y-pancho,,BINFINIT,Pan Hamburguesa Sin Tacc Binfinit 120 Gr.,,"$4.990,00",,41583.33KG,https://diaonline.supermercadosdia.com.ar/pan-hamburguesa-sin-tacc-binfinit-120-gr-169662/p,https://ardiaprod.vtexassets.com/arquivos/ids/286185-500-auto?v=638363372673470000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,MENDIA,Pan de Hamburguesa Mendia 210 Gr.,,"$1.285,00",,6119.05KG,https://diaonline.supermercadosdia.com.ar/pan-de-hamburguesa-mendia-210-gr-169659/p,https://ardiaprod.vtexassets.com/arquivos/ids/267728-500-auto?v=638322468607600000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,FARGO,Pan para Hamburguesa con sésamo Fargo 4 Ud.,,"$1.950,00",,9285.71KG,https://diaonline.supermercadosdia.com.ar/pan-para-hamburguesa-con-sesamo-fargo-4-ud-290880/p,https://ardiaprod.vtexassets.com/arquivos/ids/291665-500-auto?v=638447385242000000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,MENDIA,Pan de Pancho Mendia 210 Gr.,,"$1.285,00",,6119.05KG,https://diaonline.supermercadosdia.com.ar/pan-de-pancho-mendia-210-gr-138116/p,https://ardiaprod.vtexassets.com/arquivos/ids/266535-500-auto?v=638322452438100000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,REY ORO,Pan de Hamburguesa Rey Oro Brioche 300 Gr. 4 Un.,,"$1.690,00",,5633.33KG,https://diaonline.supermercadosdia.com.ar/pan-de-hamburguesa-rey-oro-brioche-300-gr-4-un-286964/p,https://ardiaprod.vtexassets.com/arquivos/ids/279657-500-auto?v=638322631455630000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,BIMBO,Pan de Hamburguesa Bimbo Artesano 4 Ud.,,"$2.360,00",,9833.33KG,https://diaonline.supermercadosdia.com.ar/pan-de-hamburguesa-bimbo-artesano-4-ud-229492/p,https://ardiaprod.vtexassets.com/arquivos/ids/291634-500-auto?v=638447384793900000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,SAN ALFONSO,Pan Hamburguesa X 4 Ud San Alfonso 200 Gr.,,"$1.390,00",,6950.00KG,https://diaonline.supermercadosdia.com.ar/pan-hamburguesa-x-4-ud-san-alfonso-200-gr-298766/p,https://ardiaprod.vtexassets.com/arquivos/ids/285706-500-auto?v=638357492385230000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,DIA,Pan para Hamburguesa Dia 4 Ud.,,"$1.450,00",,6904.76KG,https://diaonline.supermercadosdia.com.ar/pan-para-hamburguesa-dia-4-ud-83488/p,https://ardiaprod.vtexassets.com/arquivos/ids/291606-500-auto?v=638447384442430000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,BIMBO,Pan de Panchos Bimbo Artesano 6 Ud,,"$2.590,00",,10791.67KG,https://diaonline.supermercadosdia.com.ar/pan-de-panchos-bimbo-artesano-6-ud-241399/p,https://ardiaprod.vtexassets.com/arquivos/ids/291643-500-auto?v=638447384929700000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,DIA,Pan para Pancho Dia 6Ud.,,"$1.450,00",,6904.76KG,https://diaonline.supermercadosdia.com.ar/pan-para-pancho-dia-6ud-83489/p,https://ardiaprod.vtexassets.com/arquivos/ids/291608-500-auto?v=638447384468070000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,EL CHACARERO,Pan De Pancho El Chacarero 210 Gr.,,"$1.225,00",,5833.33KG,https://diaonline.supermercadosdia.com.ar/pan-de-pancho-el-chacarero-210-gr-115019/p,https://ardiaprod.vtexassets.com/arquivos/ids/265533-500-auto?v=638322439091700000&width=500&height=auto&aspect=true
almacen,pan-de-hamburguesa-y-pancho,,EL CHACARERO,Pan de Hamburguesa El Chacarero 210 Gr.,,"$1.235,00",,5880.95KG,https://diaonline.supermercadosdia.com.ar/pan-de-hamburguesa-el-chacarero-210-gr-115020/p,https://ardiaprod.vtexassets.com/arquivos/ids/265534-500-auto?v=638322439107430000&width=500&height=auto&aspect=true
