categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,pan-de-molde,-36%,BIMBO,Pan Blanco Bimbo Artesano 500 Gr.,36%,"$3.300,00","$5.120,00",6600.00KG,https://diaonline.supermercadosdia.com.ar/pan-blanco-bimbo-artesano-500-gr-222898/p,https://ardiaprod.vtexassets.com/arquivos/ids/299062-500-auto?v=638503265723400000&width=500&height=auto&aspect=true
almacen,pan-de-molde,-20%,LACTAL,Pan Salvado Lactal 560 Gr.,20%,"$3.260,00","$4.080,00",5821.43KG,https://diaonline.supermercadosdia.com.ar/pan-salvado-lactal-560-gr-241835/p,https://ardiaprod.vtexassets.com/arquivos/ids/291647-500-auto?v=638447384975900000&width=500&height=auto&aspect=true
almacen,pan-de-molde,-16%,DIA,Pan de molde Salvado DIA 360 Gr.,16%,"$1.590,00","$1.890,00",4416.67KG,https://diaonline.supermercadosdia.com.ar/pan-de-molde-salvado-dia-360-gr-140932/p,https://ardiaprod.vtexassets.com/arquivos/ids/286346-500-auto?v=638367690707270000&width=500&height=auto&aspect=true
almacen,pan-de-molde,,REY ORO,Pan de Molde Rey Oro Salvado 500 Gr.,,"$2.490,00",,4980.00KG,https://diaonline.supermercadosdia.com.ar/pan-de-molde-rey-oro-salvado-500-gr-292598/p,https://ardiaprod.vtexassets.com/arquivos/ids/300037-500-auto?v=638513109988300000&width=500&height=auto&aspect=true
almacen,pan-de-molde,,REY ORO,Pan de Molde Rey Oro Blanco 500 Gr.,,"$2.490,00",,4980.00KG,https://diaonline.supermercadosdia.com.ar/pan-de-molde-rey-oro-blanco-500-gr-292596/p,https://ardiaprod.vtexassets.com/arquivos/ids/297064-500-auto?v=638484260827030000&width=500&height=auto&aspect=true
almacen,pan-de-molde,,BINFINIT,Pan de Molde Sin Tacc Binfinit Blanco 200 Gr.,,"$5.920,00",,29600.00KG,https://diaonline.supermercadosdia.com.ar/pan-de-molde-sin-tacc-binfinit-blanco-200-gr-267441/p,https://ardiaprod.vtexassets.com/arquivos/ids/273821-500-auto?v=638322557408230000&width=500&height=auto&aspect=true
almacen,pan-de-molde,,BINFINIT,Pan Campero Sin Tacc Binfinit con Semillas 190 Gr.,,"$5.920,00",,31157.89KG,https://diaonline.supermercadosdia.com.ar/pan-campero-sin-tacc-binfinit-con-semillas-190-gr-267442/p,https://ardiaprod.vtexassets.com/arquivos/ids/273822-500-auto?v=638322557423530000&width=500&height=auto&aspect=true
almacen,pan-de-molde,,SIN MARCA,Pan Multicereal Familiar 650 Gr,,"$3.190,00",,4907.69KG,https://diaonline.supermercadosdia.com.ar/pan-multicereal-familiar-650-gr-295406/p,https://ardiaprod.vtexassets.com/arquivos/ids/281478-500-auto?v=638322654749530000&width=500&height=auto&aspect=true
almacen,pan-de-molde,,BIMBO,Pan Integral Bimbo Artesano 500 Gr.,,"$5.800,00",,11600.00KG,https://diaonline.supermercadosdia.com.ar/pan-integral-bimbo-artesano-500-gr-37128/p,https://ardiaprod.vtexassets.com/arquivos/ids/291583-500-auto?v=638447384182430000&width=500&height=auto&aspect=true
almacen,pan-de-molde,,NATURAL BREAD,Pan Integral Semilla Natural Bread 590 Gr.,,"$3.050,00",,5169.49KG,https://diaonline.supermercadosdia.com.ar/pan-integral-semilla-natural-bread-590-gr-295558/p,https://ardiaprod.vtexassets.com/arquivos/ids/285519-500-auto?v=638357319799270000&width=500&height=auto&aspect=true
