categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,pan-rallado-y-rebozadores,-19%,DIA,Pan Rallado DIA 500 Gr.,19%,"$650,00","$800,00",1300.00KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-dia-500-gr-122423/p,https://ardiaprod.vtexassets.com/arquivos/ids/265835-500-auto?v=638322443021970000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,-19%,DIA,Rebozador DIA 500 Gr.,19%,"$650,00","$800,00",1300.00KG,https://diaonline.supermercadosdia.com.ar/rebozador-dia-500-gr-122400/p,https://ardiaprod.vtexassets.com/arquivos/ids/265832-500-auto?v=638322442970770000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,-40%,PREFERIDO,Robozador Fortificado Preferido 500 Gr.,40%,"$1.000,00","$1.665,00",2000.00KG,https://diaonline.supermercadosdia.com.ar/robozador-fortificado-preferido-500-gr-300850/p,https://ardiaprod.vtexassets.com/arquivos/ids/288901-500-auto?v=638399772953630000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,EXCLUSIVO,Pan Rallado Exclusivo 400 Gr,,"$590,00",,1475.00KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-exclusivo-400-gr-174474/p,https://ardiaprod.vtexassets.com/arquivos/ids/268041-500-auto?v=638322472664830000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,CAÑUELAS,Pan Rallado Fortificado Cañuelas 500 Gr.,,"$860,00",,1720.00KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-fortificado-canuelas-500-gr-298515/p,https://ardiaprod.vtexassets.com/arquivos/ids/284424-500-auto?v=638339205339700000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,MAMA COCINA,Panko Mama Cocina 400 Gr,,"$1.625,00",,4062.50KG,https://diaonline.supermercadosdia.com.ar/panko-mama-cocina-400-gr-296479/p,https://ardiaprod.vtexassets.com/arquivos/ids/281742-500-auto?v=638322658369570000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,MAMA COCINA,Pan Rallado Fortificado Mama Cocina 1 Kg.,,"$2.200,00",,2200.00KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-fortificado-mama-cocina-1-kg-298514/p,https://ardiaprod.vtexassets.com/arquivos/ids/283723-500-auto?v=638332449110700000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,PREFERIDO,Pan Rallado Fortificado Preferido 500 Gr.,,"$1.270,00",,2540.00KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-fortificado-preferido-500-gr-162447/p,https://ardiaprod.vtexassets.com/arquivos/ids/286855-500-auto?v=638375469589070000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,PREFERIDO,Rebozador Para Horno Fortificado Preferido 500 Gr.,,"$1.360,00",,2720.00KG,https://diaonline.supermercadosdia.com.ar/rebozador-para-horno-fortificado-preferido-500-gr-301006/p,https://ardiaprod.vtexassets.com/arquivos/ids/290088-500-auto?v=638425005610500000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,CAÑUELAS,Pan Rallado Fortificado Cañuelas 1 Kg.,,"$1.820,00",,1820.00KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-fortificado-canuelas-1-kg-298516/p,https://ardiaprod.vtexassets.com/arquivos/ids/284425-500-auto?v=638339205358600000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,PREFERIDO,Pan Rallado Crunch Fortificado Preferido 450 Gr.,,"$2.230,00",,4955.56KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-crunch-fortificado-preferido-450-gr-301007/p,https://ardiaprod.vtexassets.com/arquivos/ids/289799-500-auto?v=638418073568770000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,PREFERIDO,Pan Rallado Ajo & Perejil Preferido 500 Gr.,,"$1.590,00",,3180.00KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-ajo---perejil-preferido-500-gr-301008/p,https://ardiaprod.vtexassets.com/arquivos/ids/289409-500-auto?v=638411184011500000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,PREFERIDO,Pan Rallado Crunch Preferido 450 Gr,,"$1.910,00",,4244.44KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-crunch-preferido-450-gr-291409/p,https://ardiaprod.vtexassets.com/arquivos/ids/280214-500-auto?v=638322639169500000&width=500&height=auto&aspect=true
almacen,pan-rallado-y-rebozadores,,MAMA COCINA,Pan Rallado Mamá Cocina 500 Gr.,,"$900,00",,1800.00KG,https://diaonline.supermercadosdia.com.ar/pan-rallado-mama-cocina-500-gr-174709/p,https://ardiaprod.vtexassets.com/arquivos/ids/268056-500-auto?v=638322472885470000&width=500&height=auto&aspect=true
