categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,panes,-15%,SIN MARCA,Flautita 80 Gr.,15%,"$290,00","$340,00",3222.22KG,https://diaonline.supermercadosdia.com.ar/flautita-80-gr-278604/p,https://ardiaprod.vtexassets.com/arquivos/ids/277816-500-auto?v=638322608949170000&width=500&height=auto&aspect=true
almacen,panes,-15%,SIN MARCA,Pan Flauta x Un.,15%,"$290,00","$340,00",3411.76KG,https://diaonline.supermercadosdia.com.ar/pan-flauta-x-un-259352/p,https://ardiaprod.vtexassets.com/arquivos/ids/272259-500-auto?v=638322535858730000&width=500&height=auto&aspect=true
almacen,panes,,SMAMS,Pan En Rodajas Sin Tacc Smams 200 Gr.,,"$3.490,00",,17450.00KG,https://diaonline.supermercadosdia.com.ar/pan-en-rodajas-sin-tacc-smams-200-gr-295832/p,https://ardiaprod.vtexassets.com/arquivos/ids/286361-500-auto?v=638367690938230000&width=500&height=auto&aspect=true
almacen,panes,,SIN MARCA,Pan Mignon x Un.,,"$70,00",,2000.00KG,https://diaonline.supermercadosdia.com.ar/pan-mignon-x-un-259356/p,https://ardiaprod.vtexassets.com/arquivos/ids/272263-500-auto?v=638322535926270000&width=500&height=auto&aspect=true
almacen,panes,,MENDIA,Pan Lactal Familiar Mendia 600 Gr.,,"$2.930,00",,4883.33KG,https://diaonline.supermercadosdia.com.ar/pan-lactal-familiar-mendia-600-gr-138115/p,https://ardiaprod.vtexassets.com/arquivos/ids/266534-500-auto?v=638322452425130000&width=500&height=auto&aspect=true
almacen,panes,,REY ORO,Pan de Viena Rey Oro con Papa y Queso 300 Gr. 4 Un.,,"$1.690,00",,5281.25KG,https://diaonline.supermercadosdia.com.ar/pan-de-viena-rey-oro-con-papa-y-queso-300-gr-4-un-286967/p,https://ardiaprod.vtexassets.com/arquivos/ids/279663-500-auto?v=638322631533200000&width=500&height=auto&aspect=true
almacen,panes,,DELIPAN,Pan Arabe Clasico Delipan 300 Gr.,,"$1.650,00",,5500.00KG,https://diaonline.supermercadosdia.com.ar/pan-arabe-clasico-delipan-300-gr-300966/p,https://ardiaprod.vtexassets.com/arquivos/ids/290082-500-auto?v=638425005527470000&width=500&height=auto&aspect=true
almacen,panes,,DELIPAN,Pan Arabe Salvado Delipan 300 Gr.,,"$1.650,00",,5500.00KG,https://diaonline.supermercadosdia.com.ar/pan-arabe-salvado-delipan-300-gr-300967/p,https://ardiaprod.vtexassets.com/arquivos/ids/290084-500-auto?v=638425005551370000&width=500&height=auto&aspect=true
almacen,panes,,REGINA(PAN),Pan Multicereal Con Semillas Regina 450 Gr,,"$2.590,00",,5755.56KG,https://diaonline.supermercadosdia.com.ar/pan-multicereal-con-semillas-regina-450-gr-293376/p,https://ardiaprod.vtexassets.com/arquivos/ids/280756-500-auto?v=638322645560170000&width=500&height=auto&aspect=true
almacen,panes,,SIN MARCA,Pan Blanco Familiar 590 Gr,,"$3.190,00",,5406.78KG,https://diaonline.supermercadosdia.com.ar/pan-blanco-familiar-590-gr-295418/p,https://ardiaprod.vtexassets.com/arquivos/ids/281496-500-auto?v=638322654987470000&width=500&height=auto&aspect=true
almacen,panes,,REGINA(PAN),Pan Artesano Regina 450 Gr,,"$2.550,00",,5666.67KG,https://diaonline.supermercadosdia.com.ar/pan-artesano-regina-450-gr-293385/p,https://ardiaprod.vtexassets.com/arquivos/ids/280758-500-auto?v=638322645589300000&width=500&height=auto&aspect=true
