categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,papas-fritas,-30%,DIA,Papas Fritas Tradicional Dia 65 Gr.,30%,"$920,00","$1.320,00",14153.85KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-tradicional-dia-65-gr-295097/p,https://ardiaprod.vtexassets.com/arquivos/ids/291095-500-auto?v=638437874050870000&width=500&height=auto&aspect=true
almacen,papas-fritas,-25%,LAY'S,Papas Fritas Lays Clásicas X 134 Gr.,25%,"$2.883,75","$3.845,00",28694.03KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-lays-clasicas-x-134-gr-180409/p,https://ardiaprod.vtexassets.com/arquivos/ids/290152-500-auto?v=638428254526570000&width=500&height=auto&aspect=true
almacen,papas-fritas,-25%,LAY'S,Papas Fritas Lays Clásicas X 85 Gr.,25%,"$1.773,75","$2.365,00",27823.53KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-lays-clasicas-x-85-gr-172869/p,https://ardiaprod.vtexassets.com/arquivos/ids/290151-500-auto?v=638428254506500000&width=500&height=auto&aspect=true
almacen,papas-fritas,-25%,LAY'S,Papas Fritas Lays Clásicas X 230 Gr.,25%,"$4.170,00","$5.560,00",24.17GR,https://diaonline.supermercadosdia.com.ar/papas-fritas-lays-clasicas-x-230-gr-249181/p,https://ardiaprod.vtexassets.com/arquivos/ids/290172-500-auto?v=638428254805200000&width=500&height=auto&aspect=true
almacen,papas-fritas,-25%,LAY'S,Papas Fritas Sabor A Queso Y Cebolla Lays X 77 Gr.,25%,"$1.773,75","$2.365,00",30714.29KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-sabor-a-queso-y-cebolla-lays-x-77-gr-217633/p,https://ardiaprod.vtexassets.com/arquivos/ids/290162-500-auto?v=638428254668270000&width=500&height=auto&aspect=true
almacen,papas-fritas,-25%,LAY'S,Papas Fritas Sabor A Jamón Serrano Lays X 77 Gr.,25%,"$1.773,75","$2.365,00",30714.29KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-sabor-a-jamon-serrano-lays-x-77-gr-213435/p,https://ardiaprod.vtexassets.com/arquivos/ids/290161-500-auto?v=638428254652030000&width=500&height=auto&aspect=true
almacen,papas-fritas,,KRACHITOS,Papas Fritas Corte Americano Krachitos 270 Gr.,,"$2.980,00",,11037.04KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-corte-americano-krachitos-270-gr-34442/p,https://ardiaprod.vtexassets.com/arquivos/ids/263498-500-auto?v=638322409411600000&width=500&height=auto&aspect=true
almacen,papas-fritas,,KRACHITOS,Papas Fritas Corte Americano Krachitos 115 Gr.,,"$1.660,00",,14434.78KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-corte-americano-krachitos-115-gr-50645/p,https://ardiaprod.vtexassets.com/arquivos/ids/263926-500-auto?v=638322416467300000&width=500&height=auto&aspect=true
almacen,papas-fritas,,PEHUAMAR,Papas Fritas Pehuamar X 75 Gr.,,"$1.730,00",,23066.67KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-pehuamar-x-75-gr-301178/p,https://ardiaprod.vtexassets.com/arquivos/ids/290289-500-auto?v=638428256298300000&width=500&height=auto&aspect=true
almacen,papas-fritas,,DIA,Papas Fritas Corte Americano Dia 65 Gr.,,"$1.320,00",,20307.69KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-corte-americano-dia-65-gr-296636/p,https://ardiaprod.vtexassets.com/arquivos/ids/289762-500-auto?v=638418073081500000&width=500&height=auto&aspect=true
almacen,papas-fritas,,DIA,Papas Fritas Pay Dia 140 Gr.,,"$1.540,00",,11000.00KG,https://diaonline.supermercadosdia.com.ar/papas-fritas-pay-dia-140-gr-295066/p,https://ardiaprod.vtexassets.com/arquivos/ids/289745-500-auto?v=638418072870330000&width=500&height=auto&aspect=true
almacen,papas-fritas,,DIA,Papas Corte Americano Dia 160 Gr.,,"$2.180,00",,13625.00KG,https://diaonline.supermercadosdia.com.ar/papas-corte-americano-dia-160-gr-295064/p,https://ardiaprod.vtexassets.com/arquivos/ids/289743-500-auto?v=638418072838500000&width=500&height=auto&aspect=true
