categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,postres-para-preparar,,MAMA COCINA,Bizcochuelo Mamá Cocina Vainilla 540 Gr.,,"$1.750,00",,3240.74KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-mama-cocina-vainilla-540-gr-276149/p,https://ardiaprod.vtexassets.com/arquivos/ids/277214-500-auto?v=638322601488600000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,CUARTO CRECIENTE,Postre Sabor Flan Cuarto Creciente 22 Gr.,,"$840,00",,38181.82KG,https://diaonline.supermercadosdia.com.ar/postre-sabor-flan-cuarto-creciente-22-gr-25335/p,https://ardiaprod.vtexassets.com/arquivos/ids/291955-500-auto?v=638449112552300000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,CUARTO CRECIENTE,Postre Sabor Vainilla Cuarto Creciente 22 Gr.,,"$1.050,00",,47727.27KG,https://diaonline.supermercadosdia.com.ar/postre-sabor-vainilla-cuarto-creciente-22-gr-11917/p,https://ardiaprod.vtexassets.com/arquivos/ids/291942-500-auto?v=638449112379130000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,MAMA COCINA,Brownie Mamá Cocina Chocolate 540 Gr.,,"$1.450,00",,2685.19KG,https://diaonline.supermercadosdia.com.ar/brownie-mama-cocina-chocolate-540-gr-276151/p,https://ardiaprod.vtexassets.com/arquivos/ids/277218-500-auto?v=638322601542070000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,EMETH,Postre de Dulce de Leche Vitaminizado Emeth 120 Grs.,,"$1.260,00",,10500.00KG,https://diaonline.supermercadosdia.com.ar/postre-de-dulce-de-leche-vitaminizado-emeth-120-grs-294912/p,https://ardiaprod.vtexassets.com/arquivos/ids/281254-500-auto?v=638322651561670000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,EMETH,Flan Vainilla Vitaminizado Emeth 60 Gr,,"$1.050,00",,17500.00KG,https://diaonline.supermercadosdia.com.ar/flan-vainilla-vitaminizado-emeth-60-gr-294913/p,https://ardiaprod.vtexassets.com/arquivos/ids/281255-500-auto?v=638322651576530000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,ROYAL,Postre Royal Vainilla 75 Gr.,,"$990,00",,13200.00KG,https://diaonline.supermercadosdia.com.ar/postre-royal-vainilla-75-gr-151420/p,https://ardiaprod.vtexassets.com/arquivos/ids/267051-500-auto?v=638322459596470000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,MAMA COCINA,Bizcochuelo Mamá Cocina Chocolate 540 Gr.,,"$2.050,00",,3796.30KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-mama-cocina-chocolate-540-gr-276150/p,https://ardiaprod.vtexassets.com/arquivos/ids/277216-500-auto?v=638322601513270000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,ROYAL,Mousse Royal Light Chocolate 40 Gr.,,"$1.435,00",,35.88GR,https://diaonline.supermercadosdia.com.ar/mousse-royal-light-chocolate-40-gr-157570/p,https://ardiaprod.vtexassets.com/arquivos/ids/267059-500-auto?v=638322459693970000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,EMETH,Postre Vainilla Emeth Vitaminizado  120 Gr.,,"$1.260,00",,10500.00KG,https://diaonline.supermercadosdia.com.ar/postre-vainilla-emeth-vitaminizado-120-gr-285808/p,https://ardiaprod.vtexassets.com/arquivos/ids/279561-500-auto?v=638322630081770000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,EMETH,Postre Emeth Chocolate 120 Gr.,,"$1.260,00",,10500.00KG,https://diaonline.supermercadosdia.com.ar/postre-emeth-chocolate-120-gr-285807/p,https://ardiaprod.vtexassets.com/arquivos/ids/279560-500-auto?v=638322630065700000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,ROYAL,Mousse Royal Chocolate 65 Gr.,,"$1.400,00",,21538.46KG,https://diaonline.supermercadosdia.com.ar/mousse-royal-chocolate-65-gr-23402/p,https://ardiaprod.vtexassets.com/arquivos/ids/263045-500-auto?v=638322402883800000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,EXQUISITA,Flan en Sobre Exquisita Dulce de Leche 40 Gr.,,"$660,00",,16500.00KG,https://diaonline.supermercadosdia.com.ar/flan-en-sobre-exquisita-dulce-de-leche-40-gr-276963/p,https://ardiaprod.vtexassets.com/arquivos/ids/277401-500-auto?v=638322603854000000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,EXQUISITA,Flan en Sobre Exquisita Vainilla 40 Gr.,,"$800,00",,20000.00KG,https://diaonline.supermercadosdia.com.ar/flan-en-sobre-exquisita-vainilla-40-gr-276964/p,https://ardiaprod.vtexassets.com/arquivos/ids/277403-500-auto?v=638322603882800000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,ROYAL,Flan Royal Vainilla 60 Gr.,,"$800,00",,13333.33KG,https://diaonline.supermercadosdia.com.ar/flan-royal-vainilla-60-gr-146743/p,https://ardiaprod.vtexassets.com/arquivos/ids/266833-500-auto?v=638322456581570000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,EXQUISITA,Postre Exquisita Vainilla 8 porciones 80 Gr.,,"$900,00",,11250.00KG,https://diaonline.supermercadosdia.com.ar/postre-exquisita-vainilla-8-porciones-80-gr-232072/p,https://ardiaprod.vtexassets.com/arquivos/ids/270147-500-auto?v=638322502502870000&width=500&height=auto&aspect=true
almacen,postres-para-preparar,,EXQUISITA,Polvo Exquisita Postre de Chocolate 80 Gr.,,"$865,00",,10812.50KG,https://diaonline.supermercadosdia.com.ar/polvo-exquisita-postre-de-chocolate-80-gr-219163/p,https://ardiaprod.vtexassets.com/arquivos/ids/269504-500-auto?v=638322493618870000&width=500&height=auto&aspect=true
