categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,premezclas-dulces,-51%,MAMA COCINA,Premezcla Bizcochuelo Chocolate Sin Tacc Mama Cocina 450 Gr.,51%,"$1.393,00","$2.850,00",4422.22KG,https://diaonline.supermercadosdia.com.ar/premezcla-bizcochuelo-chocolate-sin-tacc-mama-cocina-450-gr-46696/p,https://ardiaprod.vtexassets.com/arquivos/ids/299229-500-auto?v=638507121575270000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,-51%,MAMA COCINA,Premezcla para Bizcochuelo Sabor Vainilla Sin TACC Mamá Cocina 450 Gr.,51%,"$1.393,00","$2.850,00",4422.22KG,https://diaonline.supermercadosdia.com.ar/premezcla-para-bizcochuelo-sabor-vainilla-sin-tacc-mama-cocina-450-gr-46697/p,https://ardiaprod.vtexassets.com/arquivos/ids/301468-500-auto?v=638531901892570000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,MAMA COCINA,Premezcla Bizcochuelo Naranja Vitamina D Mama Cocina 540 Gr,,"$1.980,00",,3666.67KG,https://diaonline.supermercadosdia.com.ar/premezcla-bizcochuelo-naranja-vitamina-d-mama-cocina-540-gr-101166/p,https://ardiaprod.vtexassets.com/arquivos/ids/265084-500-auto?v=638322433191930000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,MORIXE,Bizcochuelo Chocolate Morixe 540 Gr.,,"$2.245,00",,4157.41KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-chocolate-morixe-540-gr-1072/p,https://ardiaprod.vtexassets.com/arquivos/ids/296791-500-auto?v=638482879196830000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,EXQUISITA,Bizcochuelo Chocolate Fort Exquisita 540 Gr.,,"$2.730,00",,5055.56KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-chocolate-fort-exquisita-540-gr-300868/p,https://ardiaprod.vtexassets.com/arquivos/ids/288914-500-auto?v=638399773138500000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,MAMA COCINA,Premezcla para Bizcochuelo Sabor Limón Mamá Cocina 540 Gr.,,"$2.015,00",,3731.48KG,https://diaonline.supermercadosdia.com.ar/premezcla-para-bizcochuelo-sabor-limon-mama-cocina-540-gr-46695/p,https://ardiaprod.vtexassets.com/arquivos/ids/301467-500-auto?v=638531901876770000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,EXQUISITA,Premezcla Brownies Fortificado Exquisita 425 Gr.,,"$3.620,00",,8517.65KG,https://diaonline.supermercadosdia.com.ar/premezcla-brownies-fortificado-exquisita-425-gr-301032/p,https://ardiaprod.vtexassets.com/arquivos/ids/289410-500-auto?v=638411184028270000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,EXQUISITA,Bizcochuelo Naranja Fortificado Exquisita 540 Gr.,,"$2.730,00",,5055.56KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-naranja-fortificado-exquisita-540-gr-301237/p,https://ardiaprod.vtexassets.com/arquivos/ids/289856-500-auto?v=638421582611470000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,EXQUISITA,Lemonies Fortificado Exquisita 425 Gr.,,"$3.750,00",,8823.53KG,https://diaonline.supermercadosdia.com.ar/lemonies-fortificado-exquisita-425-gr-301235/p,https://ardiaprod.vtexassets.com/arquivos/ids/289853-500-auto?v=638421582571730000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,EMETH,Bizcochuelo de Vainilla Fortificado Emeth 450 Gr,,"$2.500,00",,5555.56KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-de-vainilla-fortificado-emeth-450-gr-294975/p,https://ardiaprod.vtexassets.com/arquivos/ids/281277-500-auto?v=638322651848400000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,EMETH,Bizcochuelo de Chocolate Fortificado Emeth 450 Gr,,"$2.500,00",,5555.56KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-de-chocolate-fortificado-emeth-450-gr-294974/p,https://ardiaprod.vtexassets.com/arquivos/ids/281276-500-auto?v=638322651833700000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,EXQUISITA,Premezcla Budín Chocolate Exquisita 300 Gr.,,"$1.600,00",,5333.33KG,https://diaonline.supermercadosdia.com.ar/premezcla-budin-chocolate-exquisita-300-gr-61746/p,https://ardiaprod.vtexassets.com/arquivos/ids/299746-500-auto?v=638509307315830000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,EXQUISITA,Bizcochuelo Exquisita Chocolate en 1 Minuto 60 Gr.,,"$840,00",,14000.00KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-exquisita-chocolate-en-1-minuto-60-gr-269444/p,https://ardiaprod.vtexassets.com/arquivos/ids/274241-500-auto?v=638322564170030000&width=500&height=auto&aspect=true
almacen,premezclas-dulces,,EXQUISITA,Bizcochuelo Exquisita Vainilla con Chips en 1 Minuto 60 Gr.,,"$840,00",,14000.00KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-exquisita-vainilla-con-chips-en-1-minuto-60-gr-269445/p,https://ardiaprod.vtexassets.com/arquivos/ids/274243-500-auto?v=638322564193830000&width=500&height=auto&aspect=true
