categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,premezclas-saladas,-30%,MAMA COCINA,Pure De Papa Receta Tradicional Mama Cocina 100 Gr.,30%,"$1.603,00","$2.290,00",22900.00KG,https://diaonline.supermercadosdia.com.ar/pure-de-papa-receta-tradicional-mama-cocina-100-gr-297670/p,https://ardiaprod.vtexassets.com/arquivos/ids/284856-500-auto?v=638346413386300000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,-15%,MORIXE,Harina Morixe para Pizza 1 Kg.,15%,"$1.190,00","$1.400,00",1190.00KG,https://diaonline.supermercadosdia.com.ar/harina-morixe-para-pizza-1-kg-285486/p,https://ardiaprod.vtexassets.com/arquivos/ids/279502-500-auto?v=638322629286230000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,-63%,MAMA COCINA,Premezcla Ñoquis Mama Cocina 500 Gr.,63%,"$990,00","$2.690,00",1980.00KG,https://diaonline.supermercadosdia.com.ar/premezcla-%C3%B1oquis-mama-cocina-500-gr-298980/p,https://ardiaprod.vtexassets.com/arquivos/ids/284737-500-auto?v=638345325597070000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,PUREZA,Premezcla Pizza Masa Madre Pureza 550 Gr.,,"$1.810,00",,3290.91KG,https://diaonline.supermercadosdia.com.ar/premezcla-pizza-masa-madre-pureza-550-gr-298979/p,https://ardiaprod.vtexassets.com/arquivos/ids/284735-500-auto?v=638345325572770000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,MAMA COCINA,Premezcla Chipa Mama Cocina 400 Gr.,,"$3.760,00",,9400.00KG,https://diaonline.supermercadosdia.com.ar/premezcla-chipa-mama-cocina-400-gr-298982/p,https://ardiaprod.vtexassets.com/arquivos/ids/284739-500-auto?v=638345325620130000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,PUREZA,Harina para Pizza Pureza con Levadura 1 Kg.,,"$1.430,00",,1430.00KG,https://diaonline.supermercadosdia.com.ar/harina-para-pizza-pureza-con-levadura-1-kg-164858/p,https://ardiaprod.vtexassets.com/arquivos/ids/267326-500-auto?v=638322463214330000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,NATURAL POP,Faina Sin Gluten Natural Pop 210 Gr.,,"$1.500,00",,7142.86KG,https://diaonline.supermercadosdia.com.ar/faina-sin-gluten-natural-pop-210-gr-180219/p,https://ardiaprod.vtexassets.com/arquivos/ids/268400-500-auto?v=638322477517070000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,NATURAL POP,Falafel Clasico Natural Pop 210 Gr.,,"$1.600,00",,7619.05KG,https://diaonline.supermercadosdia.com.ar/falafel-clasico-natural-pop-210-gr-297755/p,https://ardiaprod.vtexassets.com/arquivos/ids/281876-500-auto?v=638322660217900000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,PUREZA,Premezcla para Pizza y Pan Gourmet Sin TACC Mamá Cocina 500 Gr.,,"$2.730,00",,5460.00KG,https://diaonline.supermercadosdia.com.ar/premezcla-para-pizza-y-pan-gourmet-sin-tacc-mama-cocina-500-gr-29996/p,https://ardiaprod.vtexassets.com/arquivos/ids/301462-500-auto?v=638531901805730000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,NATURAL POP,Falafel Arveja Y Quinoa Natural Pop 200 Gr.,,"$1.600,00",,8000.00KG,https://diaonline.supermercadosdia.com.ar/falafel-arveja-y-quinoa-natural-pop-200-gr-180220/p,https://ardiaprod.vtexassets.com/arquivos/ids/268401-500-auto?v=638322477535300000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,LUCCHETTI,Premezcla Torta Frita Luchetti 500 Gr.,,"$1.520,00",,3040.00KG,https://diaonline.supermercadosdia.com.ar/premezcla-torta-frita-luchetti-500-gr-299141/p,https://ardiaprod.vtexassets.com/arquivos/ids/285835-500-auto?v=638357497212670000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,LUCCHETTI,Premezcla Chipa Luchetti 400 Gr.,,"$4.165,00",,10412.50KG,https://diaonline.supermercadosdia.com.ar/premezcla-chipa-luchetti-400-gr-264922/p,https://ardiaprod.vtexassets.com/arquivos/ids/287163-500-auto?v=638376332463470000&width=500&height=auto&aspect=true
almacen,premezclas-saladas,,NATURAL POP,Premezcla Hamburguesa Vegetal Natural Pop 20 Gr.,,"$1.600,00",,7619.05KG,https://diaonline.supermercadosdia.com.ar/premezcla-hamburguesa-vegetal-natural-pop-20-gr-297758/p,https://ardiaprod.vtexassets.com/arquivos/ids/281877-500-auto?v=638322660232430000&width=500&height=auto&aspect=true
