categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,sal,,CELUSAL,Sal Fina en Paquete Celusal 500 Gr.,,"$1.200,00",,2400.00KG,https://diaonline.supermercadosdia.com.ar/sal-fina-en-paquete-celusal-500-gr-47582/p,https://ardiaprod.vtexassets.com/arquivos/ids/299014-500-auto?v=638503265010470000&width=500&height=auto&aspect=true
almacen,sal,,DIA,Sal Fina DIA 500 Gr.,,"$590,00",,1180.00KG,https://diaonline.supermercadosdia.com.ar/sal-fina-dia-500-gr-55538/p,https://ardiaprod.vtexassets.com/arquivos/ids/264093-500-auto?v=638322418741700000&width=500&height=auto&aspect=true
almacen,sal,,DIA,Sal Gruesa DIA 1 Kg.,,"$900,00",,900.00KG,https://diaonline.supermercadosdia.com.ar/sal-gruesa-dia-1-kg-55539/p,https://ardiaprod.vtexassets.com/arquivos/ids/264094-500-auto?v=638322418758430000&width=500&height=auto&aspect=true
almacen,sal,,CELUSAL,Sal Gruesa Celusal 1 Kg.,,"$1.415,00",,1415.00KG,https://diaonline.supermercadosdia.com.ar/sal-gruesa-celusal-1-kg-15147/p,https://ardiaprod.vtexassets.com/arquivos/ids/262737-500-auto?v=638322398979400000&width=500&height=auto&aspect=true
almacen,sal,,DIA,Sal Entrefina DIA Parrillera 500 Gr.,,"$640,00",,1280.00KG,https://diaonline.supermercadosdia.com.ar/sal-entrefina-dia-parrillera-500-gr-55546/p,https://ardiaprod.vtexassets.com/arquivos/ids/264098-500-auto?v=638322418824000000&width=500&height=auto&aspect=true
almacen,sal,,CELUSAL,Sal Entrefina Celusal para Parrilla 1 Kg.,,"$1.370,00",,1370.00KG,https://diaonline.supermercadosdia.com.ar/sal-entrefina-celusal-para-parrilla-1-kg-56090/p,https://ardiaprod.vtexassets.com/arquivos/ids/264159-500-auto?v=638322419749130000&width=500&height=auto&aspect=true
almacen,sal,,DIA,Sal Fina DIA 500 Gr.,,"$1.900,00",,3800.00KG,https://diaonline.supermercadosdia.com.ar/sal-fina-dia-500-gr-256997/p,https://ardiaprod.vtexassets.com/arquivos/ids/271885-500-auto?v=638322530465670000&width=500&height=auto&aspect=true
almacen,sal,,CELUSAL,Sal Fina Celusal de mesa 500 Gr.,,"$2.370,00",,4740.00KG,https://diaonline.supermercadosdia.com.ar/sal-fina-celusal-de-mesa-500-gr-15148/p,https://ardiaprod.vtexassets.com/arquivos/ids/262738-500-auto?v=638322398996530000&width=500&height=auto&aspect=true
almacen,sal,,CELUSAL,Celusal fina Salero 250 Gr,,"$2.035,00",,8140.00KG,https://diaonline.supermercadosdia.com.ar/celusal-fina-salero-250-gr-259278/p,https://ardiaprod.vtexassets.com/arquivos/ids/288372-500-auto?v=638393890769630000&width=500&height=auto&aspect=true
almacen,sal,,GENSER,Sal Clásica Genser 90 Gr.,,"$2.485,00",,27611.11KG,https://diaonline.supermercadosdia.com.ar/sal-clasica-genser-90-gr-239862/p,https://ardiaprod.vtexassets.com/arquivos/ids/270691-500-auto?v=638322509835900000&width=500&height=auto&aspect=true
almacen,sal,,GENSER,Salero Genser 300 Gr.,,"$4.355,00",,14516.67KG,https://diaonline.supermercadosdia.com.ar/salero-genser-300-gr-61221/p,https://ardiaprod.vtexassets.com/arquivos/ids/264275-500-auto?v=638322421409100000&width=500&height=auto&aspect=true
almacen,sal,,CELUSAL,Sal Fina Light Celusal 235 Gr.,,"$3.580,00",,15234.04KG,https://diaonline.supermercadosdia.com.ar/sal-fina-light-celusal-235-gr-239860/p,https://ardiaprod.vtexassets.com/arquivos/ids/270689-500-auto?v=638322509802900000&width=500&height=auto&aspect=true
