categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,snacks,-25%,DORITOS,Nachos Sabor A Queso Doritos X 77 Gr.,25%,"$1.642,50","$2.190,00",28441.56KG,https://diaonline.supermercadosdia.com.ar/nachos-sabor-a-queso-doritos-x-77-gr-296687/p,https://ardiaprod.vtexassets.com/arquivos/ids/290257-500-auto?v=638428255891200000&width=500&height=auto&aspect=true
almacen,snacks,-37%,TOSTITOS,Nachos De Maíz Tostitos X 129 Gr.,37%,"$1.950,00","$3.080,00",15116.28KG,https://diaonline.supermercadosdia.com.ar/nachos-de-maiz-tostitos-x-129-gr-296926/p,https://ardiaprod.vtexassets.com/arquivos/ids/301531-500-auto?v=638531902757670000&width=500&height=auto&aspect=true
almacen,snacks,-35%,LA ESTACA,Maní Con Cascara La Estaca 250 Gr.,35%,"$1.690,00","$2.590,00",6760.00KG,https://diaonline.supermercadosdia.com.ar/mani-con-cascara-la-estaca-250-gr-298632/p,https://ardiaprod.vtexassets.com/arquivos/ids/285438-500-auto?v=638355650983500000&width=500&height=auto&aspect=true
almacen,snacks,-25%,DORITOS,Nachos Sabor A Queso Doritos X 129 Gr.,25%,"$2.722,50","$3.630,00",28139.53KG,https://diaonline.supermercadosdia.com.ar/nachos-sabor-a-queso-doritos-x-129-gr-107734/p,https://ardiaprod.vtexassets.com/arquivos/ids/290132-500-auto?v=638428254270130000&width=500&height=auto&aspect=true
almacen,snacks,-25%,CHEETOS,Chizitos De Maíz Sabor A Queso Cheetos Original X 85 Gr.,25%,"$1.732,50","$2.310,00",27176.47KG,https://diaonline.supermercadosdia.com.ar/chizitos-de-maiz-sabor-a-queso-cheetos-original-x-85-gr-299357/p,https://ardiaprod.vtexassets.com/arquivos/ids/290261-500-auto?v=638428255958730000&width=500&height=auto&aspect=true
almacen,snacks,-25%,CHEETOS,Chizitos De Maíz Sabor A Queso Cheetos Original X 140 Gr.,25%,"$2.977,50","$3.970,00",28357.14KG,https://diaonline.supermercadosdia.com.ar/chizitos-de-maiz-sabor-a-queso-cheetos-original-x-140-gr-258509/p,https://ardiaprod.vtexassets.com/arquivos/ids/290181-500-auto?v=638428254927270000&width=500&height=auto&aspect=true
almacen,snacks,-25%,DORITOS,Nachos Sabor A Queso Doritos X 200 Gr.,25%,"$4.170,00","$5.560,00",27800.00KG,https://diaonline.supermercadosdia.com.ar/nachos-sabor-a-queso-doritos-x-200-gr-106494/p,https://ardiaprod.vtexassets.com/arquivos/ids/290131-500-auto?v=638428254255300000&width=500&height=auto&aspect=true
almacen,snacks,-26%,SIN MARCA,Maní Pelado Salado 500 Gr.,26%,"$2.890,00","$3.890,00",5780.00KG,https://diaonline.supermercadosdia.com.ar/mani-pelado-salado-500-gr-267882/p,https://ardiaprod.vtexassets.com/arquivos/ids/273951-500-auto?v=638322560017000000&width=500&height=auto&aspect=true
almacen,snacks,-16%,DIA,Snacks De Arroz Pizza Dia 50 Gr.,16%,"$590,00","$700,00",11800.00KG,https://diaonline.supermercadosdia.com.ar/snacks-de-arroz-pizza-dia-50-gr-299309/p,https://ardiaprod.vtexassets.com/arquivos/ids/291100-500-auto?v=638437874119800000&width=500&height=auto&aspect=true
almacen,snacks,-16%,DIA,Snacks de Arroz Queso Dia 50 Gr.,16%,"$590,00","$700,00",11800.00KG,https://diaonline.supermercadosdia.com.ar/snacks-de-arroz-queso-dia-50-gr-211585/p,https://ardiaprod.vtexassets.com/arquivos/ids/291068-500-auto?v=638437873704170000&width=500&height=auto&aspect=true
almacen,snacks,-16%,DIA,Snack De Arroz Jamon Dia 50 Gr.,16%,"$590,00","$700,00",11800.00KG,https://diaonline.supermercadosdia.com.ar/snack-de-arroz-jamon-dia-50-gr-239496/p,https://ardiaprod.vtexassets.com/arquivos/ids/291070-500-auto?v=638437873728570000&width=500&height=auto&aspect=true
almacen,snacks,-14%,PIPAS,Pipas Peladas 25 Gr.,14%,"$300,00","$350,00",12000.00KG,https://diaonline.supermercadosdia.com.ar/pipas-peladas-25-gr-55059/p,https://ardiaprod.vtexassets.com/arquivos/ids/290904-500-auto?v=638430970576230000&width=500&height=auto&aspect=true
