categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,sopas,-40%,KNORR,Sopa Knorr Quick Balance Vegetales x 5 Sobres,40%,"$1.080,00","$1.800,00",21428.57KG,https://diaonline.supermercadosdia.com.ar/sopa-knorr-quick-balance-vegetales-x-5-sobres-14991/p,https://ardiaprod.vtexassets.com/arquivos/ids/285863-500-auto?v=638359047870900000&width=500&height=auto&aspect=true
almacen,sopas,-40%,KNORR,Sopa Knorr Quick Apio x 5 Sobres,40%,"$1.080,00","$1.800,00",21428.57KG,https://diaonline.supermercadosdia.com.ar/sopa-knorr-quick-apio-x-5-sobres-15194/p,https://ardiaprod.vtexassets.com/arquivos/ids/262739-500-auto?v=638322399017930000&width=500&height=auto&aspect=true
almacen,sopas,-40%,KNORR,Sopa Instantánea KNORR QUICK Zapallo Balance Sobres 5 Un.,40%,"$1.080,00","$1.800,00",21428.57KG,https://diaonline.supermercadosdia.com.ar/sopa-instantanea-knorr-quick-zapallo-balance-sobres-5-un-126348/p,https://ardiaprod.vtexassets.com/arquivos/ids/265969-500-auto?v=638322444760900000&width=500&height=auto&aspect=true
almacen,sopas,-40%,KNORR,Sopa Knorr Quick Choclo y Perejil x 5 Sobres,40%,"$1.080,00","$1.800,00",21428.57KG,https://diaonline.supermercadosdia.com.ar/sopa-knorr-quick-choclo-y-perejil-x-5-sobres-80348/p,https://ardiaprod.vtexassets.com/arquivos/ids/264624-500-auto?v=638322426463300000&width=500&height=auto&aspect=true
almacen,sopas,-40%,KNORR,"Sopa de Letras Knorr 107,5 Gr.",40%,"$747,00","$1.245,00",9209.30KG,https://diaonline.supermercadosdia.com.ar/sopa-de-letras-knorr-1075-gr-283611/p,https://ardiaprod.vtexassets.com/arquivos/ids/278997-500-auto?v=638322623045670000&width=500&height=auto&aspect=true
almacen,sopas,-40%,KNORR,"Sopa de Pollo Knorr con Cabellos de Ángel 105,6 Gr.",40%,"$747,00","$1.245,00",9375.00KG,https://diaonline.supermercadosdia.com.ar/sopa-de-pollo-knorr-con-cabellos-de-angel-1056-gr-283610/p,https://ardiaprod.vtexassets.com/arquivos/ids/278990-500-auto?v=638322622979900000&width=500&height=auto&aspect=true
almacen,sopas,-40%,KNORR,Sopa Crema Knorr Zapallo con Nuez Moscada 70 Gr.,40%,"$750,00","$1.250,00",17857.14KG,https://diaonline.supermercadosdia.com.ar/sopa-crema-knorr-zapallo-con-nuez-moscada-70-gr-283614/p,https://ardiaprod.vtexassets.com/arquivos/ids/279017-500-auto?v=638322623234630000&width=500&height=auto&aspect=true
almacen,sopas,-40%,KNORR,"Sopa de Vegetales Knorr con Caracolitos Tricolor 107,5 Gr.",40%,"$747,00","$1.245,00",9209.30KG,https://diaonline.supermercadosdia.com.ar/sopa-de-vegetales-knorr-con-caracolitos-tricolor-1075-gr-283408/p,https://ardiaprod.vtexassets.com/arquivos/ids/278730-500-auto?v=638322620335030000&width=500&height=auto&aspect=true
almacen,sopas,-40%,KNORR,Sopa Knorr Quick Arvejas x 5 Sobres,40%,"$1.080,00","$1.800,00",21428.57KG,https://diaonline.supermercadosdia.com.ar/sopa-knorr-quick-arvejas-x-5-sobres-14992/p,https://ardiaprod.vtexassets.com/arquivos/ids/262677-500-auto?v=638322397238230000&width=500&height=auto&aspect=true
almacen,sopas,-40%,KNORR,SOPA VEGETALES BALANCE KNORR 60GR,40%,"$840,00","$1.400,00",23.33GR,https://diaonline.supermercadosdia.com.ar/sopa-vegetales-balance-knorr-60gr-14567/p,https://ardiaprod.vtexassets.com/arquivos/ids/262601-500-auto?v=638322391627730000&width=500&height=auto&aspect=true
