categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,tomates-y-salsas,-37%,DIA,Tomate Perita Cubeteado Dia con Agregado de Puré de Tomate 400 Gr.,37%,"$820,00","$1.300,00",2050.00KG,https://diaonline.supermercadosdia.com.ar/tomate-perita-cubeteado-dia-con-agregado-de-pure-de-tomate-400-gr-119003/p,https://ardiaprod.vtexassets.com/arquivos/ids/296538-500-auto?v=638478452968370000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,-30%,KNORR,Salsa de Tomate Knorr Deshidratado 60 Gr.,30%,"$987,00","$1.410,00",23500.00KG,https://diaonline.supermercadosdia.com.ar/salsa-de-tomate-knorr-deshidratado-60-gr-285032/p,https://ardiaprod.vtexassets.com/arquivos/ids/279391-500-auto?v=638322627820370000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,COPA DE OROS,Puré de Tomates Copa de Oro 520 Grs.,,"$630,00",,1211.54KG,https://diaonline.supermercadosdia.com.ar/pure-de-tomates-copa-de-oro-520-grs-100086/p,https://ardiaprod.vtexassets.com/arquivos/ids/265052-500-auto?v=638322432698000000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,DIA,Puré de Tomate Dia 520 Gr.,,"$790,00",,1519.23KG,https://diaonline.supermercadosdia.com.ar/pure-de-tomate-dia-520-gr-34593/p,https://ardiaprod.vtexassets.com/arquivos/ids/299010-500-auto?v=638503264946200000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,DIA,Tomate Perita Pelado Dia 400 Gr.,,"$1.080,00",,2700.00KG,https://diaonline.supermercadosdia.com.ar/tomate-perita-pelado-dia-400-gr-34596/p,https://ardiaprod.vtexassets.com/arquivos/ids/296464-500-auto?v=638478440892200000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,MONTENEVI,Pulpa De Tomate Montenevi 520 Gr.,,"$600,00",,1153.85KG,https://diaonline.supermercadosdia.com.ar/pulpa-de-tomate-montenevi-520-gr-141839/p,https://ardiaprod.vtexassets.com/arquivos/ids/266651-500-auto?v=638322454033700000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,ALCO,Puré de Tomate Alco 520 Gr.,,"$910,00",,1750.00KG,https://diaonline.supermercadosdia.com.ar/pure-de-tomate-alco-520-gr-263653/p,https://ardiaprod.vtexassets.com/arquivos/ids/272899-500-auto?v=638322544924870000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,KNORR,Salsa Pizza Casera Knorr 340 Gr.,,"$1.030,00",,3029.41KG,https://diaonline.supermercadosdia.com.ar/salsa-pizza-casera-knorr-340-gr-260452/p,https://ardiaprod.vtexassets.com/arquivos/ids/272501-500-auto?v=638322539321200000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,ALCO,Salsa de Tomate Filetto Alco 340 Gr.,,"$730,00",,2147.06KG,https://diaonline.supermercadosdia.com.ar/salsa-de-tomate-filetto-alco-340-gr-64801/p,https://ardiaprod.vtexassets.com/arquivos/ids/288829-500-auto?v=638399123122470000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,ALCO,Tomate Triturado Don Francisco En Botella 950 Gr.,,"$2.425,00",,2552.63KG,https://diaonline.supermercadosdia.com.ar/tomate-triturado-don-francisco-en-botella-950-gr-140836/p,https://ardiaprod.vtexassets.com/arquivos/ids/266619-500-auto?v=638322453561770000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,KNORR,Salsa Fileto Tipo Casera Knorr 340 Gr.,,"$1.030,00",,3029.41KG,https://diaonline.supermercadosdia.com.ar/salsa-fileto-tipo-casera-knorr-340-gr-260453/p,https://ardiaprod.vtexassets.com/arquivos/ids/272502-500-auto?v=638322539337800000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,ALCO,Salsa Tomate Pizza Libre De Gluten Alco 340 Gr.,,"$800,00",,2352.94KG,https://diaonline.supermercadosdia.com.ar/salsa-tomate-pizza-libre-de-gluten-alco-340-gr-13763/p,https://ardiaprod.vtexassets.com/arquivos/ids/295192-500-auto?v=638465246861400000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,ALCO,Salsa Tomate Portuguesa Alco 340 Gr.,,"$800,00",,2352.94KG,https://diaonline.supermercadosdia.com.ar/salsa-tomate-portuguesa-alco-340-gr-300738/p,https://ardiaprod.vtexassets.com/arquivos/ids/295265-500-auto?v=638465247683800000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,CANALE,Puré De Tomate Canale 520 Gr.,,"$995,00",,1913.46KG,https://diaonline.supermercadosdia.com.ar/pure-de-tomate-canale-520-gr-263654/p,https://ardiaprod.vtexassets.com/arquivos/ids/272900-500-auto?v=638322544945330000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,ALCO,Salsa Tomate Napolitana Alco 340 Gr.,,"$800,00",,2352.94KG,https://diaonline.supermercadosdia.com.ar/salsa-tomate-napolitana-alco-340-gr-13762/p,https://ardiaprod.vtexassets.com/arquivos/ids/295190-500-auto?v=638465246839970000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,TARRAGONA,Tomate Triturado Tarragona 950 Gr.,,"$2.310,00",,2431.58KG,https://diaonline.supermercadosdia.com.ar/tomate-triturado-tarragona-950-gr-39472/p,https://ardiaprod.vtexassets.com/arquivos/ids/301463-500-auto?v=638531901821700000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,CANALE,Tomate Perita Canale Clásico 400 Gr.,,"$840,00",,2100.00KG,https://diaonline.supermercadosdia.com.ar/tomate-perita-canale-clasico-400-gr-263861/p,https://ardiaprod.vtexassets.com/arquivos/ids/272961-500-auto?v=638322545747900000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,DOS ANCLAS,Salsa Caesar Dos Anclas 350 Gr.,,"$3.250,00",,9285.71KG,https://diaonline.supermercadosdia.com.ar/salsa-caesar-dos-anclas-350-gr-260530/p,https://ardiaprod.vtexassets.com/arquivos/ids/272513-500-auto?v=638322539467670000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,KNORR,Salsa Pomarola Menos Sodio Knorr 340 Gr.,,"$565,00",,2911.76KG,https://diaonline.supermercadosdia.com.ar/salsa-pomarola-menos-sodio-knorr-340-gr-122134/p,https://ardiaprod.vtexassets.com/arquivos/ids/265829-500-auto?v=638322442920300000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,KNORR,Salsa Guiso y Arroz Knorr 340 Gr.,,"$820,00",,2911.76KG,https://diaonline.supermercadosdia.com.ar/salsa-guiso-y-arroz-knorr-340-gr-100081/p,https://ardiaprod.vtexassets.com/arquivos/ids/286275-500-auto?v=638365097133100000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,KNORR,Salsa Pomodoro Con Zapallo Knorr 340 Gr.,,"$565,00",,2911.76KG,https://diaonline.supermercadosdia.com.ar/salsa-pomodoro-con-zapallo-knorr-340-gr-100082/p,https://ardiaprod.vtexassets.com/arquivos/ids/286277-500-auto?v=638365097156000000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,DOÑA PUPA,Pure de Tomate Doña Pupa 520 Gr.,,"$930,00",,1788.46KG,https://diaonline.supermercadosdia.com.ar/pure-de-tomate-dona-pupa-520-gr-289480/p,https://ardiaprod.vtexassets.com/arquivos/ids/279950-500-auto?v=638322635408130000&width=500&height=auto&aspect=true
almacen,tomates-y-salsas,,VIGENTE,Tomate Triturado Vigente 500 Gr.,,"$1.360,00",,2720.00KG,https://diaonline.supermercadosdia.com.ar/tomate-triturado-vigente-500-gr-287786/p,https://ardiaprod.vtexassets.com/arquivos/ids/279708-500-auto?v=638322632194730000&width=500&height=auto&aspect=true
