categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,turrones-obleas-y-confitados,-50%,KIT KAT,Oblea White 4 Fingers Kitkat x 41.5 Gr.,50%,"$845,00","$1.690,00",40722.89KG,https://diaonline.supermercadosdia.com.ar/oblea-white-4-fingers-kitkat-x-415-gr-238922/p,https://ardiaprod.vtexassets.com/arquivos/ids/299774-500-auto?v=638509307667570000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,-50%,KIT KAT,"Oblea Dark 4 Fingers Kitkat x 41,5 Gr.",50%,"$845,00","$1.690,00",40722.89KG,https://diaonline.supermercadosdia.com.ar/oblea-dark-4-fingers-kitkat-x-415-gr-238921/p,https://ardiaprod.vtexassets.com/arquivos/ids/299769-500-auto?v=638509307609430000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,-10%,ARCOR,Turrón Arcor con Maní 25 Gr.,10%,"$148,00","$165,00",5920.00KG,https://diaonline.supermercadosdia.com.ar/turron-arcor-con-mani-25-gr-17929/p,https://ardiaprod.vtexassets.com/arquivos/ids/262795-500-auto?v=638322399732430000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,-50%,NEVARES,Oblea Bañada Crocbar 29Gr,50%,"$160,00","$320,00",5517.24KG,https://diaonline.supermercadosdia.com.ar/oblea-banada-crocbar-29gr-249815/p,https://ardiaprod.vtexassets.com/arquivos/ids/271359-500-auto?v=638322519597730000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,-60%,BULLDOG (CARAMELOS),Pastillas Bull Dog Tutti Fruti 30 Gr.,60%,"$140,00","$350,00",4666.67KG,https://diaonline.supermercadosdia.com.ar/pastillas-bull-dog-tutti-fruti-30-gr-160531/p,https://ardiaprod.vtexassets.com/arquivos/ids/267129-500-auto?v=638322460641730000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,-43%,GEORGALOS,Nucrem Georgalos Clásico 25 Gr.,43%,"$80,00","$140,00",3200.00KG,https://diaonline.supermercadosdia.com.ar/nucrem-georgalos-clasico-25-gr-283290/p,https://ardiaprod.vtexassets.com/arquivos/ids/278667-500-auto?v=638322619523070000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,-20%,GALLO,Oblea de Arroz Lemonbar Gallo Snacks 20 Gr.,20%,"$396,00","$495,00",19800.00KG,https://diaonline.supermercadosdia.com.ar/oblea-de-arroz-lemonbar-gallo-snacks-20-gr-286712/p,https://ardiaprod.vtexassets.com/arquivos/ids/279648-500-auto?v=638322631306170000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,-30%,YUMMY,Gomitas Yummy Dino 25 Gr.,30%,"$350,00","$500,00",11666.67KG,https://diaonline.supermercadosdia.com.ar/gomitas-yummy-dino-25-gr-232263/p,https://ardiaprod.vtexassets.com/arquivos/ids/270152-500-auto?v=638322502564000000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,SMACK,Oblea Smack Chocolate y Maní 33 Gr.,2 x $400,"$300,00",,9090.91KG,https://diaonline.supermercadosdia.com.ar/oblea-smack-chocolate-y-mani-33-gr-289320/p,https://ardiaprod.vtexassets.com/arquivos/ids/279918-500-auto?v=638322634937830000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,TITA,Tita Clásica 19 Gr.,2 x $1000,"$590,00",,31052.63KG,https://diaonline.supermercadosdia.com.ar/tita-clasica-19-gr-274902/p,https://ardiaprod.vtexassets.com/arquivos/ids/276632-500-auto?v=638322594290830000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,SMACK,Barra de Chocolate Smack Rellena 35gr,2 x $560,"$310,00",,8857.14KG,https://diaonline.supermercadosdia.com.ar/barra-de-chocolate-smack-rellena-35gr-295454/p,https://ardiaprod.vtexassets.com/arquivos/ids/281512-500-auto?v=638322655202230000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,DIA,Postre De Mani Dia 105 Gr.,,"$1.450,00",,13809.52KG,https://diaonline.supermercadosdia.com.ar/postre-de-mani-dia-105-gr-295869/p,https://ardiaprod.vtexassets.com/arquivos/ids/290662-500-auto?v=638429282609170000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,BON O BON,Bombón Relleno Bon o Bon Original 15 Gr.,2 x $500,"$290,00",,19333.33KG,https://diaonline.supermercadosdia.com.ar/bombon-relleno-bon-o-bon-original-15-gr-17930/p,https://ardiaprod.vtexassets.com/arquivos/ids/262796-500-auto?v=638322399748130000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,RHODESIA,Oblea Rhodesia Clásica  22 Gr.,2 x $1100,"$670,00",,37222.22KG,https://diaonline.supermercadosdia.com.ar/oblea-rhodesia-clasica-22-gr-17932/p,https://ardiaprod.vtexassets.com/arquivos/ids/262798-500-auto?v=638322399776900000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,AYRES DE LUJAN,Pastafrola Ayres De Luján Con Membrillo 40 Gr.,2 x $400,"$250,00",,6250.00KG,https://diaonline.supermercadosdia.com.ar/pastafrola-ayres-de-lujan-con-membrillo-40-gr-258223/p,https://ardiaprod.vtexassets.com/arquivos/ids/272008-500-auto?v=638322532297970000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,MILKA,Chocolate Milka con Oreo 45 Gr.,2x$2100,"$1.275,00",,28333.33KG,https://diaonline.supermercadosdia.com.ar/chocolate-milka-con-oreo-45-gr-260584/p,https://ardiaprod.vtexassets.com/arquivos/ids/294198-500-auto?v=638458627158500000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,CLIGHT,Caramelos Clight sabor Naranja 20 Gr.,2 x $1000,"$680,00",,34000.00KG,https://diaonline.supermercadosdia.com.ar/caramelos-clight-sabor-naranja-20-gr-161043/p,https://ardiaprod.vtexassets.com/arquivos/ids/267136-500-auto?v=638322460713870000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,DIA,Caramelos Duros DIA Frutal Sin Tacc 150 Gr.,,"$990,00",,6600.00KG,https://diaonline.supermercadosdia.com.ar/caramelos-duros-dia-frutal-sin-tacc-150-gr-161522/p,https://ardiaprod.vtexassets.com/arquivos/ids/290532-500-auto?v=638429280731000000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,SIN MARCA,Merengue Mediano Blanco 130 Gr.,,"$1.390,00",,10692.31KG,https://diaonline.supermercadosdia.com.ar/merengue-mediano-blanco-130-gr-296628/p,https://ardiaprod.vtexassets.com/arquivos/ids/286362-500-auto?v=638367690954900000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,BONAFIDE,Bizcochuelo Chocman Black Bonafide 35 Gr.,,"$845,00",,24142.86KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-chocman-black-bonafide-35-gr-303105/p,https://ardiaprod.vtexassets.com/arquivos/ids/299730-500-auto?v=638508833802100000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,GEORGALOS,Turrón de Maní Namur 25 Gr.,,"$150,00",,6000.00KG,https://diaonline.supermercadosdia.com.ar/turron-de-mani-namur-25-gr-299884/p,https://ardiaprod.vtexassets.com/arquivos/ids/285027-500-auto?v=638349688154370000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,RHODESIA,Mini Obleas Bañada En Chocolate Rodhesia 60gr,,"$1.480,00",,24666.67KG,https://diaonline.supermercadosdia.com.ar/mini-obleas-banada-en-chocolate-rodhesia-60gr-20667/p,https://ardiaprod.vtexassets.com/arquivos/ids/262874-500-auto?v=638322400802270000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,GALLO (SNACK),Pochoclos Caramelo Gallo Snacks 50 Gr.,,"$2.110,00",,42200.00KG,https://diaonline.supermercadosdia.com.ar/pochoclos-caramelo-gallo-snacks-50-gr-300902/p,https://ardiaprod.vtexassets.com/arquivos/ids/290079-500-auto?v=638425005484830000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,FULBITO,Turron Mousse Fulbito 25 Gr.,,"$110,00",,4400.00KG,https://diaonline.supermercadosdia.com.ar/turron-mousse-fulbito-25-gr-299081/p,https://ardiaprod.vtexassets.com/arquivos/ids/286207-500-auto?v=638363373000530000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,SIN MARCA,Turron De Mani Nucrem Georgalos 84gr,,"$1.150,00",,13690.48KG,https://diaonline.supermercadosdia.com.ar/turron-de-mani-nucrem-georgalos-84gr-112328/p,https://ardiaprod.vtexassets.com/arquivos/ids/265415-500-auto?v=638322437583170000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,DIA,Pasas de Uva Con Chocolate Dia 80 Gr.,,"$943,95",,11799.38KG,https://diaonline.supermercadosdia.com.ar/pasas-de-uva-con-chocolate-dia-80-gr-295877/p,https://ardiaprod.vtexassets.com/arquivos/ids/282547-500-auto?v=638327962097570000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,DIA,Turrón de Maní Dia 80 Gr.,,"$471,45",,5893.13KG,https://diaonline.supermercadosdia.com.ar/turron-de-mani-dia-80-gr-295876/p,https://ardiaprod.vtexassets.com/arquivos/ids/282545-500-auto?v=638327962069100000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,DIA,Garrapiñada De Maní Dia 80 Gr.,,"$460,95",,5761.88KG,https://diaonline.supermercadosdia.com.ar/garrapinada-de-mani-dia-80-gr-295879/p,https://ardiaprod.vtexassets.com/arquivos/ids/282551-500-auto?v=638327962148530000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,DIA,Turrón Maní Con Cacao Dia 90 Gr.,,"$523,95",,5821.67KG,https://diaonline.supermercadosdia.com.ar/turron-mani-con-cacao-dia-90-gr-295882/p,https://ardiaprod.vtexassets.com/arquivos/ids/282557-500-auto?v=638327962227630000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,SMACK,Bizcochuelo Smack Doble relleno Dulce de Leche 70 Gr.,,"$500,00",,7142.86KG,https://diaonline.supermercadosdia.com.ar/bizcochuelo-smack-doble-relleno-dulce-de-leche-70-gr-289321/p,https://ardiaprod.vtexassets.com/arquivos/ids/279919-500-auto?v=638322634956330000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,CROWIE,Barrita Crowie Individual Frutilla 12 Gr.,,"$290,00",,24166.67KG,https://diaonline.supermercadosdia.com.ar/barrita-crowie-individual-frutilla-12-gr-289295/p,https://ardiaprod.vtexassets.com/arquivos/ids/279912-500-auto?v=638322634843530000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,NIKITOS,Cereal de Maíz Nikitos Inflado Dulce 100 Gr.,,"$720,00",,7200.00KG,https://diaonline.supermercadosdia.com.ar/cereal-de-maiz-nikitos-inflado-dulce-100-gr-282326/p,https://ardiaprod.vtexassets.com/arquivos/ids/278356-500-auto?v=638322615643870000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,NIKITOS,Pochoclo Acaramelado Nikitos 100 Gr.,,"$930,00",,9300.00KG,https://diaonline.supermercadosdia.com.ar/pochoclo-acaramelado-nikitos-100-gr-282323/p,https://ardiaprod.vtexassets.com/arquivos/ids/278354-500-auto?v=638322615612670000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,CONOSUR,Garrapiñada De Maní 500 Gr.,,"$2.590,00",,5180.00KG,https://diaonline.supermercadosdia.com.ar/garrapinada-de-mani-500-gr-282742/p,https://ardiaprod.vtexassets.com/arquivos/ids/278445-500-auto?v=638322616788800000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,MANTECOL,Mantecol bajo en Sodio 26 Gr.,,"$809,00",,31115.38KG,https://diaonline.supermercadosdia.com.ar/mantecol-bajo-en-sodio-26-gr-274711/p,https://ardiaprod.vtexassets.com/arquivos/ids/276591-500-auto?v=638322593694900000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,MANTECOL,Mantecol bajo en sodio 111 Gr.,,"$1.230,00",,11081.08KG,https://diaonline.supermercadosdia.com.ar/mantecol-bajo-en-sodio-111-gr-275085/p,https://ardiaprod.vtexassets.com/arquivos/ids/276739-500-auto?v=638322595532070000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,MILKA,"Oblea Chocolate Milka Oreo Bis 16ux105,6 Gr.",,"$2.240,00",,21212.12KG,https://diaonline.supermercadosdia.com.ar/oblea-chocolate-milka-oreo-bis-16ux1056-gr-275197/p,https://ardiaprod.vtexassets.com/arquivos/ids/294417-500-auto?v=638458629905330000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,SIN MARCA,Obleas Rellenas Vainilla 100 Gr.,,"$790,00",,7900.00KG,https://diaonline.supermercadosdia.com.ar/obleas-rellenas-vainilla-100-gr-269426/p,https://ardiaprod.vtexassets.com/arquivos/ids/274228-500-auto?v=638322563967070000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,LA YAPA,Pastillas de colores La Yapa 17 Gr.,,"$350,00",,20588.24KG,https://diaonline.supermercadosdia.com.ar/pastillas-de-colores-la-yapa-17-gr-258016/p,https://ardiaprod.vtexassets.com/arquivos/ids/271981-500-auto?v=638322531888330000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,GALLO (SNACK),BIZCOCHO DE ARROZ GALLO TORTITA NEGRA 50 GR,,"$615,00",,12300.00KG,https://diaonline.supermercadosdia.com.ar/bizcocho-de-arroz-gallo-tortita-negra-50-gr-232694/p,https://ardiaprod.vtexassets.com/arquivos/ids/270171-500-auto?v=638322502838000000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,NUGATON,Barra de Chocolate Rellena Nugaton 27 Gr.,,"$710,00",,26296.30KG,https://diaonline.supermercadosdia.com.ar/barra-de-chocolate-rellena-nugaton-27-gr-23487/p,https://ardiaprod.vtexassets.com/arquivos/ids/263071-500-auto?v=638322403201830000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,GALLO,Bizcochos de Arroz Gallo Salados 100 Gr.,,"$1.100,00",,11000.00KG,https://diaonline.supermercadosdia.com.ar/bizcochos-de-arroz-gallo-salados-100-gr-172877/p,https://ardiaprod.vtexassets.com/arquivos/ids/295850-500-auto?v=638466975983270000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,KINDER,"Bombón Ferrero Rocher 3 Ud. 37,5 Gr.",,"$1.850,00",,16666.67KG,https://diaonline.supermercadosdia.com.ar/bombon-ferrero-rocher-3-ud-375-gr-23499/p,https://ardiaprod.vtexassets.com/arquivos/ids/298989-500-auto?v=638503264647930000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,ARCOR,Garrapiñada de Maní Arcor 80 Gr.,,"$765,45",,9568.13KG,https://diaonline.supermercadosdia.com.ar/garrapinada-de-mani-arcor-80-gr-103775/p,https://ardiaprod.vtexassets.com/arquivos/ids/286659-500-auto?v=638370281517000000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,COFLER,Oblea de Chocolate Graffiti 45 Gr.,,"$1.090,00",,24222.22KG,https://diaonline.supermercadosdia.com.ar/oblea-de-chocolate-graffiti-45-gr-246223/p,https://ardiaprod.vtexassets.com/arquivos/ids/271150-500-auto?v=638322516355400000&width=500&height=auto&aspect=true
almacen,turrones-obleas-y-confitados,,ARCOR,Turrón de Maní Arcor 80 Gr.,,"$822,15",,10276.88KG,https://diaonline.supermercadosdia.com.ar/turron-de-mani-arcor-80-gr-127063/p,https://ardiaprod.vtexassets.com/arquivos/ids/286662-500-auto?v=638370281555630000&width=500&height=auto&aspect=true
